job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Senior Data Analist,2025-04-11 18:21,76 keer bekeken,3 reacties ontvangen,2025-06-01,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Voor een toonaangevende organisatie zijn wij op zoek naar een ervaren Data Analyst die data kan ontsluiten, transformeren en visualiseren ten behoeve van strategische en operationele besluitvorming. Je komt te werken in een multidisciplinair data team en werkt nauw samen met business stakeholders, data scientists en product owners.Taken en verantwoordelijkheden:Ontwikkelen en onderhouden van schaalbare ETL-processen met behulp van PySpark en SQL in een cloudomgeving (bijv. Databricks, Azure of AWS).Ontsluiten van databronnen en optimaliseren van datamodellen voor rapportages en analyses.Bouwen van dashboards en visualisaties in Tableau die complexe inzichten begrijpelijk maken voor stakeholders.Schrijven van robuuste Python-scripts voor data cleaning, preprocessing en automatisering van rapportages.Adviseren van stakeholders op basis van data-inzichten en zorgen voor datakwaliteit en governance.Vereisten:Minimaal 5 jaar ervaring als Data AnalistAantoonbare ervaring met SQL voor datamanipulatie en -analyse (o.a. joins, subqueries, window functions).Ervaring met Python voor data-analyse, scripting en automatisering.Praktische ervaring met PySpark voor het verwerken van grote datasets in een distributed omgeving.Sterke kennis van Tableau voor het bouwen van interactieve dashboards en datavisualisaties.Ervaring met werken in een Agile/Scrum-omgeving is een pré.Goede communicatieve vaardigheden in Engels.",Jesse Verhoef,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120899
Linux Engineer,2025-04-11 16:21,27 keer bekeken,2 reacties ontvangen,2025-05-26,12 maanden,36 uur per week,In overleg,Freelance,OCW,"Je gaat als Linux Engineer aan de slag bij het Linux Infra Team. Dit team bestaat uit 6 specialisten. Het team levert Linux servers aan infra ontwikkelteams binnen ICT Services. Dit landschap bestaat uit zo'n 1500 servers, welke draaien op een combinatie van VMware, Nutanix en bare metal.Het team is verantwoordelijk voor het beheer, onderhoud en de doorontwikkeling van het Linux platform. Het secure inrichten en in stand houden van het platform is hierin belangrijk, hierbij maken we gebruik van o.a. de CIS benchmark en hardeningseisen. Het is van belang dat je comfortabel bent in een complexe omgeving waar maatwerk oplossingen geen uitzondering zijn.Je takenpakket bestaat hier uit het volgende:• Het updaten/upgraden van bestaande maatwerk componenten in het platform.• Technisch beheer van de gehele infrastructuur. Denk hierbij aan:o Security bevindingen oplosseno Storingen in de netwerk/applicatie/server laag oplosseno Actief monitoren / preventief werken om storingen te voorkomen op basis van Prometheus, Alertmanager en Grafana• Het oplossen van 2e lijns support vraagstukken.• Nieuwe provisioning/automatisering oplossingen inrichten op basis van Ansible, Salt, Python en Bash.De belangrijkste software/technieken/tooling waarmee gewerkt wordt zijn: RHEL, Alma Linux, Ubuntu, Git, AWX, Ansible, Salt, Prometheus, Jenkins, Python, TCP/IP, Apache, Nginx.Functie eisenHBO werk- en denkniveauKennis en ervaring met:LinuxPythonAutomatiseeringstools zoals Ansible en SaltRecente ervaring met Linux, bij voorkeur Ubuntu, Alma en of RHEL in combinatie met automatiseringstools zoals Saltstacken/of Ansible, 5 jaarJe hebt ervaring met scripting, denk hierbij aan Python of Bash, 5 jaarFunctie wensenKennis van CI/CD tooling zoals: Jenkins, Gitlab en/of AWXKennis van container technologie, zoals Docker en/of PodmanKennis van en/of ervering met SELinuxErvaring met het secure opleveren en onderhouden van infrastructuur systemenKennis van en ervaring met complexe omgevingen, bij voorkeur in grotere (overheids)organisatiesKennis en ervaring met Scrum en/of KanbanCompetenties:Je pakt nieuwe technieken snel opJe bent assertief, leergierig en staat open voor innovatieJe werkt vanuit een automatiserings- en security mindsetJe weet op het juiste niveau kennis te delen met collega'sJe pakt de regie binnen een opdracht of een project en weet daarin collega's mee te nemenJe doorgrondt problemen systematisch, en je werkt op een gestructureerde manier naar een oplossing toeOverige InformatieStart: 26 mei 2025Eind 30 juni 2026Inzet: 36 uurStandplaats: Groningen",ItaQ Interim Professionals,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120873
IT Manager,2025-04-11 15:46,144 keer bekeken,5 reacties ontvangen,8 maanden (optie tot verlenging),16 - 24 uur per week,"€ 75,00 - € 105,00 Per uur",Freelance,,,"Een hands-on IT Manager met Noord-Hollandse nuchterheid.Wij zijn op zoek naar een veelzijdige IT-professional met een brede kennis en ervaring in softwareontwikkeling, netwerken, software- en IT-architectuur, business intelligence (BI), Excel, websites, VoIP en API-integraties. Daarnaast moet deze persoon uitstekende management- en projectmanagementvaardigheden hebben. Als IT Duizendpoot ben je verantwoordelijk voor het overzien, coördineren en uitvoeren van diverse IT-gerelateerde projecten en taken binnen de organisatie.Verantwoordelijkheden:* Ontwikkelen, implementeren en onderhouden van softwareoplossingen.* Beheer en optimalisatie van netwerkinfrastructuur en -beveiliging.* Ontwerpen en implementeren van IT- en softwarearchitecturen.* Analyseren en vertalen van data naar bruikbare inzichten met BI-tools.* Opzetten en onderhouden van geavanceerde Excel-modellen en -dashboards.* Beheer en optimalisatie van bedrijfswebsites en webapplicaties.* Implementatie en onderhoud van VoIP-systemen binnen de organisatie.* Ontwikkelen en beheren van API-koppelingen tussen verschillende systemen.* Leiden en managen van IT-projecten van initiatie tot oplevering.* Coördineren van IT-teams en stakeholders binnen verschillende projecten.* Identificeren en implementeren van IT-innovaties en best practices.* Fungeren als schakel tussen de IT-afdeling en andere bedrijfsafdelingen.Vereisten:* Minimaal een hbo- of wo-diploma in Informatica, IT Management of een gerelateerd vakgebied.* Aantoonbare ervaring in softwareontwikkeling en programmeertalen zoals Python, Java, C# of vergelijkbaar.* Kennis van netwerkbeheer, cloudtechnologieën en cybersecurity.* Ervaring met software- en IT-architectuurprincipes.* Beheersing van BI-tools zoals Power BI.* Uitgebreide ervaring met Excel, inclusief geavanceerde formules, macro’s en VBA.* Ervaring met het beheer en de ontwikkeling van websites en webapplicaties (HTML, CSS, JavaScript, CMS-systemen).* Kennis van en ervaring met VoIP-oplossingen en protocollen.* Ervaring met het ontwikkelen en beheren van API's en integraties tussen systemen.",c van Bueren,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120849
Security Architect Jr.,2025-04-11 13:58,22 keer bekeken,0 reacties ontvangen,2025-05-01,6 maanden,36 uur per week,In overleg,Freelance,SSC ICT,"Wij zijn op zoek naar een Junior Security Architect voor 36 uur per week.Wij zoeken een startende security architect die ons team van architecten komt versterken. Wij werken volgens de SAFE Agile methodiek dus met dagstarten, retro's, demo's en PI events.Verantwoordelijkheden:Interne...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120801
DevOps Engineer Windows,2025-04-11 13:38,52 keer bekeken,2 reacties ontvangen,zo snel mogelijk starten,9 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,"We are currently seeking a Senior Automation Engineer with broad technical expertise in Windows and passion for infrastructure automation.About the Organization:You’ll be working in a dynamic and technically challenging IT landscape where automation, stability, and reliability are central. Multidisciplinary...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120783
Azure Data Engineer,2025-04-11 13:37,57 keer bekeken,5 reacties ontvangen,6 maanden,36 uur per week,In overleg,Freelance,Ministerie van Justitie en Veiligheid,,Wij zijn op zoek naar een Azure Data Engineer die kan helpen verbeteren. Je zal komen te werken in een multidisciplinair team met een projectleider en teamleider die ruime ervaring hebben in het opzetten van data-analyse projecten. Het team bestaat uit data scientisten en data/cloud engineers. De volgende werkzaamheden horen bij de functie Azure Platform...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120781
BI- Translator,2025-04-11 13:26,48 keer bekeken,7 reacties ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Voor een eindklant in de regio utrecht ben ik op zoek naar een BI Translator. Met jouw kennis en ervaring in het vertalen van businessbehoeften naar concrete dataproducten, ben jij in staat om efficiënt te communiceren met zakelijke stakeholders en de daadwerkelijke informatiebehoefte scherp te krijgen. Je stelt een projectaanpak op, analyseert de benodigde...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120775
Odoo Developer,2025-04-11 12:07,35 keer bekeken,1 reactie ontvangen,2025-04-21,9 maanden (optie tot verlenging),32 - 40 uur per week,"€ 60,00 - € 95,00 Per uur",Freelance,,"OpdrachtomschrijvingWe are looking for an experienced Odoo Developer to join our customers team on a freelance basis. The ideal candidate should possess advanced technical and functional expertise in Odoo Backend & Frontend Development, FastAPI, DevOps, and Support. As an Odoo Expert, you will be responsible for the development, integration, and maintenance of Odoo ERP systems, as well as providing ongoing support. You will collaborate closely with the development teams to ensure successful implementation and delivery of solutions.Job Description: Your responsibilities will include:Odoo Expertise:Analyze, design, and implement new features and functionalities in Odoo.Troubleshoot, debug, and optimize existing Odoo modules.FastAPI:Develop and integrate APIs using FastAPI to enable seamless communication between Odoo and external systems (eCommerce, CMS, etc.).Maintain and optimize FastAPI services to ensure performance and scalability.DevOps:Manage infrastructure, deployments, and automation processes using DevOps methodologies.Utilize cloud platforms (e.g., AWS) for hosting and optimizing Odoo deployments.Monitor and enhance system performance, security, and reliability.Support & Maintenance:Provide ongoing support for Odoo systems, resolving issues efficiently.Train end-users and create documentation for system usage.Provide technical support and maintain system stability after deployment.Your Profile: Required Experience:Over 5 years of experience with Odoo, including version upgrades, customizations, and integration with third-party systems.Proficiency in FastAPI for developing high-performance APIs.Strong knowledge of DevOps practices, CI/CD pipelines, cloud infrastructure (AWS, GCP, etc.), and containerization (Docker, Kubernetes).Familiarity with project management tools (e.g., JIRA).Proven experience providing high-level technical support and resolving complex issues.Strong problem-solving, troubleshooting, and communication skills.Experience working with agile methodologies and collaborative project workflows.Preferred Qualifications:Knowledge of Python, JavaScript, and front-end technologies.Experience with eCommerce, CMS, and CRM system integrations.Familiarity with cloud infrastructure tools.Strong written and verbal communication skills in English.",Jeroen Ridderhof,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120760
Network Cloud Engineer,2025-04-11 09:52,50 keer bekeken,0 reacties ontvangen,2025-04-11,9 maanden (optie tot verlenging),32 - 38 uur per week,In overleg,Freelance,,"Voor een klant in Groningen zoeken we een Cloud Network Engineer met ervaring in zowel Microsoft Azure als in het beheren van on-premises datacenters. De opdrachtgever levert momenteel nog IT-diensten vanuit haar eigen datacenters, maar we zien steeds meer klant- en beheerinitiatieven ontstaan die via de publieke cloud worden aangeboden — in het bijzonder via Microsoft Azure.De ideale kandidaat beheerst hybride cloudtechnieken en kan soepel schakelen tussen on-premises infrastructuren en cloudoplossingen. Deze kandidaat wordt onderdeel van het projectteam 'Nieuw Digitaal Werkpleklandschap'.Details-Start-/einddatum: In overleg, zo snel mogelijk tot mogelijk het einde van 2026. Initieel een overeenkomst tot einde 2025.-Aantal uren per week: 38De opdrachtgever levert wij sinds jaren IT-diensten uit onze on-premises datacenters. Recent zien wij steeds meer klant- en beheer initiatieven ontstaan die vanuit de publieke cloud (met name Microsoft Azure) geleverd worden. Om dit goed en succesvol te kunnen doen werken we nu aan ons Hybride Cloud fundament.Wij zijn op zoek naar een gedreven en ervaren Cloud Network Engineer die niet alleen beschikt over technische expertise, maar ook een zelfstandige en proactieve werkhouding heeft. Als Network Engineer ben je verantwoordelijk voor het ontwerpen, implementeren en onderhouden van geavanceerde netwerkoplossingen, waarbij je gebruik maakt van Azure-diensten zoals ExpressRoute en Virtual WAN. We zoeken iemand die zelfstandig problemen oplost, initiatief neemt en samen met het netwerkteam verantwoordelijkheid neemt voor het geheel. Daarnaast vind je het boeiend om nieuwe oplossingen en mogelijkheden van de Azure cloud te onderzoeken om zo samen met onze Cloud Engineers te kunnen bepalen of deze toegevoegde waarde hebben voor onze klant en IT omgeving.Profiel / Verantwoordelijkheden● Je hebt minimaal 3 jaar actuele ervaring als engineer met onderstaande werkzaamheden in de Azure cloud.● Ervaring met het ontwerpen, implementeren en beheren van netwerkarchitecturen,zowel on-premises als in de cloud (Azure). Ervaring met Azure Virtual WAN is een pré.● Ervaring met het implementeren en/of beheren van Azure ExpressRoute en VPN Gateways● Ervaring met het implementeren of beheren van Azure Firewall of andere cloud-based firewall oplossingen (Ervaring met Palo Alto (Panorama) een pré?)● Integreren van netwerkdiensten met Azure, inclusief het beheren van virtuele netwerken, subnetten, netwerkbeveiliging en peering. Het liefst heb je ook ervaring met Azure Virtual Network Manager.● Samenwerken met IT-teams om hybride cloudomgevingen effectief te beheren en te optimaliseren, met focus op netwerkbeveiliging en prestaties.● Troubleshooten en oplossen van netwerkproblemen, zowel in fysieke als virtuele omgevingen en de combinatie van beide● Sterke probleemoplossende vaardigheden en het vermogen om in een dynamische omgeving te werken.● Beveiliging van netwerken implementeren, met daarin evt. Private Endpoints, firewalls, NSG's en andere cloud-based beveiligingsmaatregelen.● Documenteren van netwerkconfiguraties en best practices voor toekomstig gebruik en kennisdeling. Het publiek voor deze documentatie is niet enkel je eigen team maar ook teams die afhankelijk zijn van de diensten die je hebt helpen realiseren.● Ervaring met Zero Trust Network oplossingen (SSE /SASE)● Kennis van automatisering en scripting (bijvoorbeeld PowerShell, Python, Ansible) is een pré. Uitrol binnen de cloud is bij de RUG Automated firstSoftskills● Gedreven● Zelfstandig en een echte self-starter: je neemt initiatief● Werkt efficiënt zonder constante begeleiding● Je hebt de drive om jezelf continu te verbeteren.● Goede communicatieve vaardigheden en het vermogen om effectief samen te werken met mensen uit je eigen team maar ook daarbuiten.● Je hebt het vermogen om groot te kunnen denken (abstract) en klein te kunnen doen (pragmatisch).● Je bent in staat verbindend op te treden in de wereld van de publieke en private (datacenter) cloud. Zowel voor techniek als voor de samenwerking.● Je bent in staat om ons platform voor te bereiden op toekomstige diverse functionele usecases/klant wensen. Denk aan workload profielen als SaaS, PaaS (AI, BI, digitalewerkplek, API Gateway) en IaaS waar nodig.",Elio Kallenbach,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120726
Data Science Engineer,2025-04-11 09:51,44 keer bekeken,2 reacties ontvangen,2025-04-21,1 jaar (optie tot verlenging),32 - 40 uur per week,"€ 70,00 - € 85,00 Per uur",Payroll/Detachering,,Omschrijving opdracht:Voor een zeer goede en grote partner van ons zijn we op zoek naar een ervaren Data Science Software Engineer met een sterke focus op Python development en data engineering. Je werkt in een multidisciplinair Agile team aan innovatieve oplossingen om werkprocessen in het energieontwerp...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120724
