job_title,Status,Publicatiedatum,Weergaven,Reacties,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Geregistreerd sinds,Privacy partner,Recruiters,Opdrachten,Laatste review,Geplaatst door,Referentie,Eindklant
Data Engineer,Open (sinds 16-05-2023 12:11),16-05-2023 12:11,78 ingelogde gebruikers,3 reacties,,"Ja, Den Haag, Rotterdam, Amsterdam en remote",19-06-2023,9 maanden  (optie tot verlenging),32 - 36,Marktconform,Freelance / ad interim,Roles and Responsibilities The Senior Data Engineer is the one who designs and builds data foundations and end to end solutions for the organizations Business to maximize value from data,,,,,,,,
Network Design Engineer,Open (sinds 16-05-2023 11:59),16-05-2023 11:59,30 ingelogde gebruikers,2 reacties,,"Ja, Den Haag, Rotterdam, Amsterdam en remote",03-07-2023,9 maanden  (optie tot verlenging),32 - 36,Marktconform,Freelance / ad interim,"Our client is looking for a Network Design Engineer to work in The Hague, Rotterdam or Amsterdam and remotely. Connectivity Automation – Design to Deploy project",,,,,,,,
DevOps engineer,Open (sinds 16-05-2023 11:25),16-05-2023 11:25,60 ingelogde gebruikers,0 reacties,21-05-2023,"In overleg, Utrecht",Zo snel mogelijk,1 jaar  (optie tot verlenging),32 - 40,per uur,Freelance / ad interim,"Ben jij een DevOps engineer die helemaal los kan gaan op Python, C/C++, die ervaring heeft met quantum key distributie, die kan bijdragen aan het ontwikkelen vanarchitectuur met complexe informatiestromenen uitstekend de Nederlandse taal beheerst",,,,,,,,
Python Developer,Open (sinds 16-05-2023 10:42),16-05-2023 10:42,61 ingelogde gebruikers,4 reacties,,"Ja, Utrecht",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,per uur,Freelance / ad interim,"For one of our clients we are looking for a Python Developer with strong affinity for hardware. You will work within a team with 7 other developers on a large-scale application related to innovative hardware. Job RequirementsAt least 3 - 5 years of professional experience with Python Strong affinity with hardware Experience with OOD and OOP Pre: PLC and/or embedded software NL or EN languageOfferStarting 01-07-2023 (earlier by agreement) 32 - 40 hours Contract 6 months, option to extend Full-time on-site work in the Amersfoort region ",25 september 2008,-,13,57 / 7755,"Snel en duidelijk overleg, erg prettig!",StarApple Interim,Rens de Wit (REF FS),
Senior Ontwikkelaar OSS Open Formulieren,Open (sinds 16-05-2023 10:28),16-05-2023 10:28,22 ingelogde gebruikers,0 reacties,24-05-2023,Nee,Zo snel mogelijk,7 maanden  (optie tot verlenging),32 - 36,85 tot 105 per uur,Freelance / ad interim," Startin overleg Duur7 maanden met optie meerdere keren te verlengen LocatieVeelal remote maar minimaal 1 x p.w. op locatie in ApeldoornKorte toelichting Onze eindklant wil het eigen Design System Bold toepassen in de OSS Open Formulieren. Dit is op dit moment niet mogelijk omdat Open Formulieren hiervoor aangepast dient te worden. Opdracht Zelfstandig de OSS Open Formulieren op een dusdanige wijze onder architectuur en kwaliteitsraamwerken aan te passen, te testen, te valideren met de community, te demo'en en te releasen, dat het mogelijk wordt Design Systems (in ieder geval het Belastingdienst Design System Bold) te gebruiken in Open Formulieren, zodat deze ingezet kan worden door alle gebruikers van Open Formulieren, waaronder de Belastingdienst. Gebruik op de bestaande manier dient onverminderd gegarandeerd te zijn. Prestatiedoelstelling is in augustus 2023 de aangepaste software in productie te hebben staan. De planning van de Belastingdienst geeft aan dat een eerste formulier op basis van Open Formulieren en Bold in september 2023 naar productie gebracht wordt. Deze opdracht bevindt zich op het kritieke pad voor de planning van de Belastingdienst. Organisatie De IV- organisatie van de Belastingdienst is verantwoordelijk voor en verzorgt de ICT- voorzieningen. Het merendeel van de applicaties wordt op dit moment door de IV- organisatie zelf ontwikkeld, onderhouden en beheerd in het eigen data center. Naast de zorg voor continuïteit op de massale heffing- en inningsprocessen die plaatsvinden binnen een degelijke, stabiele omgeving, wordt er tevens volop gewerkt aan modernisering van het IV- landschap. Dit gebeurt deels intern door gebruik te maken van de expertise die intern aanwezig is, maar ook door het aantrekken van (kant-en-klaar) oplossingen en expertise uit de markt. Functie-eisenErvaring met ontwikkelen aan de core van de OSS Open Formulieren en alle onderliggende componenten zoals gerealiseerd met behulp van onder andere Postgres, Django, form.io, Python en Docker. Ervaring met het werken met betrokken software repositories, documenteren, doen van pull requests, (laten) testen, demo'en, packagen en uitleveren van de geraliseerde componenten binnen de OSS Open Formulieren.Competenties Gezochte medewerker is in staat te opereren binnen een klein team van betrokken specialisten, binnen een Agile omgeving, waarbij de bestaande architectuur en standaards van Open Formulieren gevolgd worden. Een goed begrip is noodzakelijk van wat erbij komt kijken een integrale aanpassing zoals deze door te voeren en in een relatief korte periode naar productie te brengen. Samenwerking met de teams DX Open Formulieren en Bold (beide binnen de afdeling Generiek Portaal) binnen de Belastingdienst is van groot belang om er zeker van zijn dat integratie van Bold na oplevering daadwerkelijk eenvoudig uit te voeren is.",24 maart 2015,-,122,117 / 12763,Prettig contact. Eén van de fijnere bureaus om mee samen te werken,Roy Vissers,2023-GV-7472,Ministerie van Financiën - Generieke Voorzieningen Belastingdienst
Python/C++ developer met PLC ervaring,Open (sinds 15-05-2023 20:40),15-05-2023 20:40,50 ingelogde gebruikers,3 reacties,19-05-2023,"Ja, Utrecht ",Zo snel mogelijk,6 maanden  (optie tot verlenging),24 - 40,Marktconform,Freelance / ad interim,Voor een gewaardeerde klant zijn wij op zoek naar een senior python developer met veel kennis van C++ en PLC programming.De organisatie bevindt zich in Utrecht en ervaring met hardware is een vereiste,,,,,,,,
 Senior DevOps Engineer,Open (sinds 15-05-2023 20:37),15-05-2023 20:37,64 ingelogde gebruikers,4 reacties,01-07-2023,Nee,Zo snel mogelijk,6 maanden  (optie tot verlenging),36 - 40,per uur,Freelance / ad interim,"Freelance Senior DevOps EngineerHealth-tech Are you looking to bridge the gap between technology and medicine? Collaborate with the best minds in the cloud space? Or scale the platform for one of the coolest products in the Dutch tech space? Well, why not have all three... You will be entering a cutting-edge new team, working on a new greenfield project! ExperienceAWS Kubernetes Python CDKContact DetailsStart: 1st Hours: 36-40 Contract: 6 Months Location: Remote (Need to be located in NL)Does this sound like you? If so, reach out for a 100% private and confidential call where I can walk you through the project details! I am looking forward to hearing from you! Will",26 juni 2018,-,8,5 / 979,Clear and friendly communication.,Will Beeson,WB / HC / FOX,
Interim Data Scientist,Open (sinds 15-05-2023 17:49),15-05-2023 17:49,104 ingelogde gebruikers,8 reacties,24-06-2023,"Ja, Utrecht ",Zo snel mogelijk,5 maanden  (optie tot verlenging),24,in overleg,Freelance / ad interim,"Interim Data Scientist | 24 uur | Regio Utrecht | 5 maanden + Optie verlenging | Hybride Voor een relatie van Data First ben ik op zoek naar een Interim Data Scientist. Als Interim Data Scientist werk je samen met je team aan allerlei data producten welke al zijn gemaakt en nog moeten (door)ontwikkeld. Het zijn veel afwisselende producten welke er allemaal voor zorgen dat de opdrachtgever de klantwaarde zo hoog mogelijk gaat krijgen in de toekomst. Denk hierbij aan pricing analyses, CLV, CRM etc. Je werkt nauw samen met de Data Engineer en de business. Klinkt interessant? Dan is deze klus wellicht iets voor jou! Eisen:-Minimaal 5+ jaar relevante data werkervaring-Advanced kennis/ervaring met SQL-Kennis/ervaring met R-Kennis/ervaring met Azure-Kennis/ervaring met Python Aanbod:-Duur5 maanden + optie verlenging -LocatieRegio Utrecht (2 dagen) + remote (1 dag) -StartVanaf 01-06-2023 -TariefIn overlegInteresse? Stuur even je CV dan bel ik je zo snel mogelijk!",30 januari 2020,-,4,19 / 338,Een berichtje gestuurd met een update.,Jimi van Gestel,JVG,
Test Automation Engineer,Open (sinds 15-05-2023 17:38),15-05-2023 17:38,45 ingelogde gebruikers,6 reacties,,"In overleg, Amsterdam",Zo snel mogelijk,3 maanden  (optie tot verlenging),40,in overleg,Freelance / ad interim,Voor een directe eindklant zijn we per direct op zoek naar een Test Automation Engineer Als tester binnen de afdeling houd je je bezig met automation testwerkzaamheden,,,,,,,,
Senior Data Engineer / SW Engineer with Python,Open (sinds 15-05-2023 16:53),15-05-2023 16:53,56 ingelogde gebruikers,5 reacties,,"In overleg, Utrecht",Zo snel mogelijk,6 maanden  (optie tot verlenging),36 - 40,Marktconform,Freelance / ad interim," JobSenior Data Engineer/SW Engineer with Python LocationRegion Amsterdam, The Netherlands Onsite/remote3 days on site, 2 days from home (hybrid) Starting dateAsap Uren p/w32-36 Duration6 months, possible extension Hourly rateNegotiable based on experienceDo you enjoy working in a exciting environment? Are you a Data engineer with at least 3-5 years experience? I'm looking for you!  Our client has an exciting role within their organization where you would be coming in with a strong python background. You will be part of a team that is in charge of building data pipelines for specific business areas.  Responsibilities -Design, implement, test and deliver robust, scalable and reusable data processing and ETL solutions.-Drive collaborative reviews of design, code, test cases and dataset implementing performed by other data engineers in support of maintaining data engineer standards. -Collaborates with the data engineering community to establish standards and best practices-Mentor and develop other data engineers in adopting best practices Skills/experience -5 years of experience in SW engineering, of which at least 3 years in data engineering (Python is a must) -Experience in data lakes, structured and unstructured data-Good knowledge of cloud platform tools (preferably AWS) -Good testing experience (unit test, component test, system test).  Interested? Contact Razak from SGI.",07 januari 2020,-,13,6 / 470,"5-star to *Dewi* for her quick follow-up, detailed co-preparation and warmhearted support!",Razak Oliver,,
