job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Risk Modeller / Risicomodelleur,2025-03-14 17:40,29 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,3 maanden (optie tot verlenging),32 - 40 uur per week,"€ 75,00 - € 90,00 Per uur",Payroll/Detachering,,"Ben jij een ervaren Risicomodelleur en wil jij bijdragen aan de verdere ontwikkeling en validatie van financiële modellen? Dan is deze tijdelijke opdracht een mooie kans voor jou.Als Risicomodelleur binnen Model Risk Management werk je aan:✔ Het onderhouden en verder ontwikkelen van ESG-modellen en de verwerking van meetwaardes.✔ Het in kaart brengen en opzetten van requirements voor benodigde ESG-data.✔ De kredietrisicomodellering, zoals interne ratingmodellen, IFRS9-modellen en kapitaalsmodellen.Wat breng je mee?:✅ Een afgeronde WO-opleiding in een kwantitatieve richting (bijv. econometrie, wiskunde, natuurkunde).✅ Minimaal 3 jaar ervaring in een kwantitatieve of modellering omgeving binnen de financiële sector.✅ Ervaring met kredietrisico en/of ESG-modellen is een pré.✅ Vaardigheid in programmeertalen zoals Matlab, Python of R.✅ Uitstekende communicatieve vaardigheden en een proactieve werkhouding.Belangrijk om te vermelden:- ZZP helaas NIET mogelijk, enkel payrolling",Johannes Fesehasion,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117415
Sr. Beheerder PAM,2025-03-14 16:43,10 keer bekeken,0 reacties ontvangen,2025-06-01,12 maanden,38 uur per week,"€ 70,00 - € 80,00 Per uur",Freelance,Defensie,"OpdrachtomschrijvingAls Technisch beheerder (2 FTE) ben je verantwoordelijk voor het beheren van de PAM (Privileged Acces Management) applicatie. Samen met andere beheerders (zowel functioneel als technisch) als ook ontwerpers draag je zorg voor het goed functioneren van de gehele PAM bouwsteen, het onboarden van nieuwe applicaties als ook het bouwen van connecties tussen de te onboarden applicaties en de PAM tooling. Naast het in beheer houden van onze PAM-bouwsteen moet deze ook constant bij de tijd blijven en blijvend worden vernieuwd, om ons zo goed mogelijk te beschermen. Naast het beschermen het routeren van passwords van beheerders, ligt ook veel aandacht op het goed beschermen van secrets van applicaties/machines. Hiervoor zijn we op zoek naar een ervaren technisch beheerder die helemaal thuis is in de wereld van informatie beveiliging en van PAM in het bijzonder. In deze functie ben je verantwoordelijk voor het uitvoeren van diverse beheerders taken, waaronder het doorvoeren van updates, het bouwen van connecties en het onboarden van applicaties. Je neemt tijdens je werkzaamheden een ondernemende houding aan. Je bent in staat om snel te schakelen tussen verschillende teams en omgevingen om een compleet beeld te krijgen van de situatie. Je zoekt actief naar oplossingen en bent een luisterend oor bij problemen, door creatieve en innovatieve benaderingen te gebruiken in samenwerking met het team. Voor de vernieuwing en verbetering ben je technisch in staat vooruit te denken en mee te werken om de huidige processen te verbeteren. Tot slot ben je sociaal gedreven en schakelt makkelijk met andere disciplines en afdelingen en bent in staat om zelf kennis uit te breiden. De ideale kandidaat is zeer ervaren in het PAM vakgebied en gaat graag complexe uitdagingen aan. Hij/zij heeft een nieuwsgierige, proactieve houding, deelt met enthousiasme zijn/haar kennis met de betrokken collega's en teams. Hij/zij is een selfstarter, oppert nieuwe ideeën, is zeer ervaren met firewalls en netwerken, en is niet bang om andere afdelingen proactief op te zoeken om zo resultaten te boeken. Hij/zij heeft bij affiniteit met de wereld van PAM, IAM en IT.Achtergrond opdrachtBinnen het JIVC bestaat de afdeling Generieke IT & Infra (COMMIT) en deze is samen met de andere afdelingen van de functionele en operationele IT dé Defensieleverancier van complete systemen, applicaties, trainers en simulatoren voor de krijgsmacht in het betreffende domein. De afdeling draagt op basis van diepgaande kennis van bedrijfsvoering, gebruikers- en instandhoudingsprocessen bij aan de vertaling van eisen en wensen naar concrete specificaties t.b.v PAM en IAM software. De afdeling is daarnaast ook verantwoordelijk voor het in stand houden van deze systemen. De kandidaat heeft bij voorkeur ervaring en kennis van de volgende onderwerpen om zijn/haar werkzaamheden uit te voeren:-zeer ervaren en gedreven beheerder-PAM tooling-beveiligen van secrets van machines-firewals en netwerken-Cloud ontwikkelingen-container technologie-DEV OPS als ook projectmatige manier van werken-Heeft een luisterend oor, is proactief, volhardend en is doortastendEisenKandidaat heeft minimaal 3 jaar ervaring als Technisch IT Beheerder in complexe omgevingen.Kandidaat heeft minimaal 5 jaar aantoonbare werkervaring binnen PAM en Identity and Access Management.Kandidaat heeft minimaal 2 jaar ervaring met container technologie zoals Docker of Kubernetes (2 jaar).Kandidaat heeft minimaal 2 jaar ervaring met DEV OPS (2 jaar).Wensenkandidaat heeft ervaring met networking, firewalls en PAMkandidaat is klantgereicht en heeft consultancy skillskandidaat heeft ervaring met IT Automation tools zoals Ansible of AWXkandidaat heeft ervaring met Scripting zoals Powershell of PythonGaarne de eisen  in uw motivatie toelichten. Niet met “ja” of “nee” of “zie CV”, maar middels een korte concrete toelichting.Hoe dient uw aanbieding verzorgd te zijn:- CV in Word-formaat afgestemd op de functie eisen- Motivatie afgestemd op de functie eisen- Beschikbaarheid (wanneer, hoeveel uur per week en eventuele vakantieplannen)- Uurtarief (inclusief reis- en verblijfskosten en excl. BTW)",Cegeka Consulting  (Resourcemanagement),https://mijn.freelance.nl/opdracht-vinden/opdracht/1117422
Medior Data Engineer,2025-03-14 16:11,36 keer bekeken,2 reacties ontvangen,zo snel mogelijk starten,9 maanden,36 - 40 uur per week,In overleg,Payroll/Detachering,,"LET OP! Voor deze opdracht kunnen wij niet samenwerken met derde partijen en/of andere detacheerders. Deze opdracht kan niet middels ZZP worden ingevuld. Voor deze opdracht bieden wij het Medium-Lance model aan. Dit model betekent een (relatief) lager vast salaris, maar een hoog variabel salaris. Jij, als consultant, deelt namelijk...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117395
Data Analist Power Bi,2025-03-14 14:58,90 keer bekeken,14 reacties ontvangen,2025-04-01,9 maanden,20 - 30 uur per week,In overleg,Freelance,,"Hi!Voor een goede relatie ben ik op zoek naar een freelance Data Analist. In deze rol word je onderdeel van een multidisciplinair team dat zich bezig houdt met een project waarin men data gedreven gaat werken met reizigersinformatie. Je zult als Data Analist mee werken aan analyse van de beschikbare data met als doel het creëren van nieuwe inzichten. Samen met de Business ga je met deze nieuwe inzichten aan de slag om impact te maken op de huidige manier van werken. We zoeken voor deze rol een specialist die op korte termijn kan starten en zich nieuwe omgevingen snel eigen maakt!ProjecteisenMinimaal 3 jaar aan recente ervaring als Data AnalistRuime ervaring met Power Bi, Python en SQL.Ervaring binnen de mobiliteitsbranche of marketing is een préHands on mentaliteit, niet lullen maar poetsen ;)Je bent een proactieve teamspelerProjectinformatieWerklocatie: Zuid-HollandStart: ZSM, uiterlijk half maartWerkweek: 3 dagen per weekHybride werkenDuur: 9 maanden, met optie tot verlengingBen jij beschikbaar of ken je iemand in je netwerk die beschikbaar is, dan kom ik graag met je in contact!",Lars Schoof,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117389
DevOps Engineer,2025-03-14 14:58,68 keer bekeken,0 reacties ontvangen,2025-04-01,6 maanden,40 uur per week,"€ 90,00 - € 115,00 Per uur",Freelance,,"Freelance DevOps EngineerWe are looking for an experienced DevOps Engineer to support a high-impact migration project for an IAM Directory environment for one of our clients. Do you want to use your expertise in a challenging environment? Read on!Location: Hybrid, NetherlandsStart Date: April 1stContract Duration: 6 months, with the option for extensionHours per week: 40 hours per weekYour Role as DevOps EngineerIn this role, you will be responsible for managing and operating an IAM Directory landscape that is transitioning from an on-premise environment to cloud-based solutions. The team owns the technical design, development, and operations of the directory services, with a strong focus on automation. You will play a key role in leading the migration and ensuring a fully automated Directory landscape.Your TasksManaging and optimizing the IAM Directory landscape, focusing on Red Hat Directory Services (RHDS);Supporting system and product architects by refining and implementing enablers for the architectural runway;Developing and configuring new functionalities in alignment with IAM strategy and best practices;Driving automation and proactive improvements, leveraging CI/CD methodologies;Engaging with business stakeholders to align directory services with enterprise needs;Migrating the existing Red Hat directory to a new IAM Directory platform;Implementing automation tools such as GitHub, Ansible, Docker, and Kubernetes;Operating in a hybrid environment, with directory services on-premise and automation extending into cloud environments (Azure/GCP);Supporting the synchronization of directory data across various applications.Your Profile10+ years of experience in Identity & Access Management;7+ years of experience working with Directories, particularly Red Hat Linux and RHDS (essential);Experience with NetIQ eDir, IDM, MS AD, and Azure AD is a plus;Hands-on experience with Rundeck, Docker, Git, Jenkins, Terraform, Ansible, Python, and Postman;Experience in Agile and DevOps teams with expertise in CI/CD automation;Strong capability in identifying process and technology improvements;Deep understanding of security technologies, best practices, and IAM security frameworks.What's in it for you?Work on a advanced IAM transformation project;A challenging assignment in a high-tech and security-focused environment;The opportunity to drive standardization and automation in IAM;Competitive hourly rate;Hybrid working (minimum 2 days on-site, preferably Tuesday and Thursday).Interested? Apply now and discover how you can make a difference!",Stefano Potocco,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117387
Azure Data Engineer,2025-03-14 11:38,71 keer bekeken,8 reacties ontvangen,2025-04-01,6 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,"Data Engineer voor Enterprise Datawarehouse ProjectWe zijn op zoek naar een Data Engineer voor een uitdagend Enterprise Datawarehouse (EDW) project in een Azure omgeving. Je zult werken met tools zoals Azure Data Factory en Databricks,...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117339
Data Analist Marketing / Marketing Intelligence,2025-03-14 10:24,68 keer bekeken,1 reactie ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),32 - 36 uur per week,In overleg,Freelance,,Interim Data Analist Marketing gezocht! | Omgeving Zwolle | 32 tot 36 uur per week | Looptijd van minimaal 6 maanden met grote kans op verlenging | 3 dagen per week thuiswerken!Voor een goede relatie van ons ben ik opzoek naar een Data Analist Marketing.  Als Data Analist Marketing kom je te werken binnen het Marketing Intelligence...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117305
Data Scientist IAM / Role Miner,2025-03-14 09:27,43 keer bekeken,2 reacties ontvangen,2025-04-14,8 maanden (optie tot verlenging),36 uur per week,"€ 75,00 - € 92,00 Per uur",Payroll/Detachering,Port of Rotterdam,"OpdrachtomschrijvingVoor onze eindklant zoeken wij een Data Scientist IAM / Role Miner.Als data-scientist ben je de spil in het IAM Team waar het gaat om autorisatiedata. Je werkt samen met de product owner, IAM-engineers, functioneel beheerder en projectleider Identity Governance Administration. Je gebruikt en...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117295
Data Engineer DBT,2025-03-14 09:23,80 keer bekeken,8 reacties ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,OpdrachtomschrijvingWij zoeken een ervaren Data Engineer die verantwoordelijk is voor het optimaliseren en verder ontwikkelen van ons Lakehouse. In deze rol ben je mede verantwoordelijk voor het identificeren en oplossen van technische gaps binnen onze dataomgeving. Je zult werken aan een goede balans tussen projectmatige...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117289
Big Data Engineer,2025-03-13 15:30,100 keer bekeken,4 reacties ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Voor onze eindklant zijn wij op zoek naar een Big Data EngineerStartdatum: Z.S.M.Einddatum: 11-09-2025 Locatie: Utrecht, hybrideAantal uren per week: 32-40 uur Zowel Nederlands als Engelstalige kandidaten mogelijkReageren:Motivatie vereist Reageren kan tot: 18-03 voor...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117221
