job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Python Django Developers,2025-04-03 20:31,22 keer bekeken,3 reacties ontvangen,2025-05-01,12 maanden,36 - 39 uur per week,"€ 80,00 - € 85,00 Per uur",Freelance,,Backend Engineering Consultant – Greenfield ProjectJoin a newly built team in Amsterdam and help develop cutting-edge capabilities for a greenfield project. I am looking for a Django Developer to drive key features and integrations for our client.What You’ll DoBuild new subsystems...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119848
Data Analyst,2025-04-03 20:08,34 keer bekeken,3 reacties ontvangen,2025-05-05,12 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,"Data Analyst | Amsterdam |  Finance |12 monthsData Analyst, Credit Risk, Finance SQL, Excel, Python, BI Tools, FinanceI am currently looking for an experienced Medior Data Analyst for a finance client based in the Amsterdam area. They are specifically seeking someone with experience in finance, ideally...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119834
Full Stack Python Developer,2025-04-03 20:03,16 keer bekeken,1 reactie ontvangen,2025-04-21,12 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,"Voor één van onze opdrachtgevers in de omgeving van Enschede zijn wij op zoek naar twee full stack Python Developers.Bouw mee aan hét AI-platform van Nederland.De opdrachtgever zoekt een Full Stack Developer (2 vacatures) die een cruciale rol speelt in het ontwikkelen en onderhouden van webapplicaties, waarbij kennis van Python (FastAPI, Langchain) en Vue.js (Nuxt, Tailwind) een vereiste is. Je krijgt de kans om betrokken te zijn bij het creëren en implementeren van responsieve en dynamische gebruikersinterfaces, waarbij AI en Large Language Models centraal staan.Als onderdeel van jouw rol ben je verantwoordelijk voor het ontwikkelen en beheren van interne portalgebruikersinterfaces, het naadloos en flexibel integreren van API’s, het maken van uitgebreide zoekmachines o.b.v. vector databases. Ook deployments en het beheren van de cloud infrastructuur behoren tot jouw werkzaamheden. Daarnaast wordt er van je verwacht een rol te spelen in het onderhouden en verbeteren van het ontwikkelproces. Je krijgt ondersteuning van een ervaren collega, zodat je er niet alleen voor staat!Wat neem je mee?Minimaal twee jaar werkervaring met PythonMinimaal twee jaar werkervaring met Vue.jsKennis van Python Langchain, FastAPI, PydanticKennis van TailwindCSS, Nuxt en typescriptKennis van cloud omgevingen (voorkeur voor Google Cloud)Proactieve en leergierige houding",Michael Nio,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119829
Medior Data Engineer/Scientist,2025-04-03 20:02,24 keer bekeken,2 reacties ontvangen,2025-04-21,12 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,Voor één van onze opdrachtgevers in de omgeving van Enschede zijn wijn op zoek naar een Medior Data Scientist.Let op: Voor deze rol is het belangrijk dat je op maximaal één uur van de opdrachtgever woont. Langere reistijd is op voorhand niet mogelijk vanuit de opdrachtgever.Wat doe je als Medior Data Engineer/Scientist binnen...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119828
Senior Automation Engineer,2025-04-03 19:45,39 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,9 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,"For an end client, we are looking for a Senior Automation Engineer with broad technical knowledge of hybrid cloud environments.Organization:This organization operates in a dynamic and technically complex IT environment where automation and reliability are key. Multidisciplinary teams work together to streamline...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119820
Senior Data Scientist,2025-04-03 17:07,36 keer bekeken,3 reacties ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,Voor een van onze opdrachtgevers in de regio van Rotterdam zijn wij op zoek naar een Senior Data Scientist.Startdatum: zsmDuur: 6 maanden met optie tot verlengingLocatie: Regio Rotterdam / HybrideAantal uur per week: 32-40Werkzaamheden:In deze opdracht ga je aan de slag met het ontwikkelen...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119810
DevOps Engineer,2025-04-03 16:57,49 keer bekeken,2 reacties ontvangen,2025-04-14,1 jaar (optie tot verlenging),32 - 40 uur per week,In overleg,Payroll/Detachering,,"DevSecOps EngineerAs a DevOps/Automation Engineer, you’ll work with our team of engineers and architects to deliver and maintain CI/CD tooling that supports DevOps teams in providing products to our clients. You’ll work with various toolsets.As a DevOps Engineer, you’ll be part of a team that typically operates in a...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119798
"Data Analyst (PowerBI, SQL, AWS).",2025-04-03 16:35,48 keer bekeken,3 reacties ontvangen,2025-05-19,6 maanden (optie tot verlenging),40 uur per week,"€ 65,00 - € 80,00 Per uur",Freelance,,"OpdrachtomschrijvingFor a Dutch bank, we are looking for a Data Analyst (PowerBI, SQL, AWS).Language: EnglishHours per week: 40Location: AmsterdamEmployment...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119786
Sr Gen AI platform engineer,2025-04-03 16:13,35 keer bekeken,4 reacties ontvangen,zo snel mogelijk starten,3 maanden,32 - 40 uur per week,In overleg,Freelance,,"Senior Gen AI platform engineer - AMSTERDAM - 4 months contractWe are currently looking for a Gen AI Platform engineer for an initial 4 months contract with our client in AmsterdamDescription:4 year hands-on experience in understanding building, managing, supporting, automating cloud environmentsProficiency in IaC (Infrastructure as Code) and PaC (Policy as Code) (e.g. Bicep, Terraform)Strong experience in scripting skills and programming languages (e.g. Python, Bash, Powershell)Minimum of 4 year experience working as DevOps engineer managing applications end to end on a major cloud enviornment, including designing solutions, building, monitoring, maintaining, preferably in Azure.Proficiency in CI/CD tools (e.g. Azure DevOps, GitLab, GitHub Actions, preferably Azure)Awareness and familarity of security and compliance for Enterprise Cloud Adoption.",Marco Eindhoven,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119779
DevOps Engineer PAAS Windows,2025-04-03 15:58,21 keer bekeken,0 reacties ontvangen,2025-05-01,12 maanden,36 uur per week,In overleg,Freelance,DUO Groningen,"OpdrachtomschrijvingAls DevOps Engineer op PAAS gebied ben je onderdeel van het Continuous Delivery Windows team en verantwoordelijk voor het automatiseren, beheren, controleren en analyseren van de Windows Server platform dienstverlening en infrastructuur van DUO en OCW. Je hebt goede basiskennis van IT infrastructuren en architectuur en je bent in staat om samen te werken met directe collega's en medewerkers van andere afdelingen. Hierbij komen jouw communicatieve vaardigheden goed van pas. Tevens ben je analytisch, initiatiefrijk en besluitvaardig. Met betrekking tot het implementeren en onderhouden van de ICT-infrastructuur voer je technisch beheer uit en ben je verantwoordelijk voor wijzigingen op PAAS gebied. Het automatiseren en scripten van dienstverlening zit in je bloed. Je doet de intake van wijzigingsverzoeken en voert nieuwe of gewijzigde infrastructuurcomponenten in, signaleert knelpunten op dat gebied. Je draagt zorg voor de voorbereiden van de proefproductie, voert deze uit en evalueert deze. Je kunt tevens klanten adviseren over een te kiezen technologie.Achtergrond opdrachtTot de werkzaamheden behoren:het doorontwikkelen van de Platform dienstverlening en infrastructuur om op de vraag van morgen te zijn voorbereid;het ontwikkelen van oplossingen en automation zodat incidenten voorkomen worden;het ontwikkelen van effectieve monitoring van onze systemen en direct handelen als de beschikbaarheid van de systemen niet goed is;het ontwikkelen van tools om te ondersteunen bij het succesvol deployen van wijzigingen;het onderhouden van contacten met de leveranciers;het onderhouden van contacten met, andere aan het DUO netwerk geconnecteerde partijen.Het zwaartepunt in de werkzaamheden ligt op het door ontwikkelen en moderniseren van het Windows Server platform. Hierbij wordt gebruikt gemaakt van het infra-as-code concept (Ansible, Chocolatey en Gitlab) en wordt door middel van code de volledige infrastructuur ten behoeve van het Windows Server platform aangesproken en geconfigureerd.EisenHBO werk- en denkniveauAantoonbare kennis en ervaring met Windows Server platformen 2022 en eerdere versies (3 jaar)Kennis van certificaten, firewalls, compute, storage en netwerk (3 jaar)Ervaring met Powershell scripting (3 jaar)Kennis en ervaring met Ansible AWX / Ansible Automation Platform, Gitlab en Chocolatey (3 jaar)WensenKennis en ervaring met AGPMDFSMSCSDNSWSUSKennis en ervaring met Remote Desktop ServicesKennis van Vmware vSphere / VCFDe voorkeur gaat uit naar kandidaten die een korte reisafstand hebben tot Groningen.CompetentiesSnel lerendFlexibelResultaatgerichtGoede communicatie vaardighedenProactieve dienst verlenende houdingKennis en ervaring met Agile & DEVOPS werkenPython programmeren/automatisering",Kimberly Marbus,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119778
