job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Software/Technical Engineer,2025-04-09 20:21,21 keer bekeken,0 reacties ontvangen,2025-06-02,8 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,JIVC/Ministerie van Defensie,"Opdracht:Hoogwaardige software vraagt om vaardige software engineers. Als software engineer bij JIVC/Landgebonden IT creëer je mission-critical militaire toepassingen voor de Koninklijke Landmacht. Als Senior software engineer ben je lid van een Scrum-team en ook zelf actief in het ontwikkelen van onze geavanceerde software. Als ervaren ontwikkelaar ben je een voorbeeld en coach voor al je collega’s binnen de sectie. Je volgt de ontwikkelingen, signaleert kansen en doet verbetervoorstellen ten aanzien van de softwareontwikkeling. Jouw rol en verantwoordelijkheden omvatten tevens het volgende: - Sterk inhoudelijk betrokken bij de doorontwikkeling van onze productlijnen; - Sturing geven aan de gehele sectie in het gebruik van C#; - Realiseren van verdere professionalisering van het systeemontwikkelproces; - Het participeren in (internationale) ontwikkelingen en vergaderingen m.b.t. gegevensuitwisseling standaarden tussen C2 systemen en simulatiesystemen.Achtergrond:Onder de vlag van JIVC, de IT organisatie van defensie, als onderdeel van Commando Materieel en IT (COMMIT), ga je de sectie Software ontwikkeling en integratie van Landgebonden IT versterken. COMMIT zet zich in om collega’s in binnen- en buitenland het best mogelijke te bieden: het beste materieel, de beste voorraden en de beste ICT. Zo kunnen zij hun werk zo krachtig en effectief mogelijk doen. De afdeling Landgebonden IT draagt op basis van diepgaande kennis van operationele gebruikers- en instandhoudingsprocessen, bij aan de vertaling van eisen en wensen naar concrete specificaties, hetzij t.b.v. een eigen software-ontwikkeltraject dan wel t.b.v. een extern aan te besteden ontwikkelopdracht. Landgebonden IT voert daarnaast het systeemmanagement over alle in stand te houden systemen, trainers en simulatoren. Landgebonden IT levert tevens (ook on site) support op de door de afdeling geleverde systemen en levert technische assistentie bij de implementatie en vervanging van deze systemen. De Sectie Systeemontwikkeling en Integratie binnen de Keten Landgebonden IT bij het JIVC/C4i&i ontwikkelt voor het landoptreden binnen Defensie Command en Control (C2) systemen t.b.v. operationele commandovoering. Voor het mobiele domein ontwikkelt de sectie Systeemontwikkeling en Integratie ook de dragende (communicatie-) infrastructuur. In het mobiele domein is dit het Battlefield Management Systeem (BMS) en in het dismounted domein het VOSS project. Opdracht wordt uitgevoerd binnen het LRC team.Organisatie:JIVC is een professionele IV/ICT-organisatie, die de Defensieonderdelen en andere klanten binnen de overheid faciliteert in het effectief en doelmatig kunnen (blijven) uitvoeren van hun taken. Als organisatie staat JIVC voor betrouwbare, beveiligde IV/ICT-diensten die marktconform zijn wat betreft techniek en prijs. Medewerkers binnen JIVC werken samen en delen kennis, vanuit het besef dat alleen op deze wijze de beste kwaliteit kan worden geleverd.Vereisten:- Kandidaat heeft aantoonbare werkervaring met de automatisering van complexe software producten.- Kandidaat heeft aantoonbare werkervaring met software architectuur principes als SOLID.- Kandidaat heeft aantoonbare werkervaring als Fullstack developer met ontwerp, implementatie, bouw, test en uitrol.- Kandidaat afgeronde HBO of universitaire opleiding in de informatica of werkervaring op vergelijkbaar niveau.- Je hebt minimaal 10 jaar werkervaring in het vakgebied en met C#.NET en WPF.- Kandidaat heeft minimaal 3 jaar ervaring met (mobiele) datacommunicatie.- Kandidaat heeft minimaal 5 jaar aantoonbare werkervaring met Linux en/of BASH en/of Python.Wensen:- Kandidaat heeft bij voorkeur goede communicatieve vaardigheden en bewezen een team aan te kunnen sturen.- Kandidaat heeft bij voorkeur aantoonbare aantoonbare werkervaring met de automatisering van technisch complexe (operationele) informatiesystemen.- Kandidaat heeft bij voorkeur aantoonbare aantoonbare werkervaring met architectuur en het technisch ontwerpen van applicaties met gebruikmaking van datamodellering, UML en design patterns. - Kandidaat heeft bij voorkeur aantoonbare aantoonbare werkervaring met TDD ( Test Driven Development ).- Kandidaat heeft bij voorkeur aantoonbare aantoonbare werkervaring met VSCode, Azure Devops, SCRUM, Agile.Let op! Directe beschikbaarheid is niet vereist, er gaat een screening aan vooraf. Startdatum is in overleg hierna.",Jorrit van de Kamp,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120546
Cybersecurity specialist,2025-04-09 20:14,9 keer bekeken,0 reacties ontvangen,2025-04-14,2 jaar (optie tot verlenging),36 - 40 uur per week,"€ 75,00 - € 85,00 Per uur",Freelance,,"We are a recruitment agency based in the Netherlands and we are preferred suppliers to big organisations in Europe.For one of our client based in Brussels we are looking for a Cybersecurity Specialist.36 - 40 hours12 months projectHybrid (1 day onsite)The project and responsibilities:Forensic analysis of cyber-attacks , including impact assessment and attribution.Providing Cyber Intelligence (CYBINT) to Counter-Intelligence and Counter-Terrorism sectors.Supporting internal investigations with technical and forensic expertise.Tasks to be performed:Conduct forensic investigations on cyberattacks and incidents, including malware and behavioural analysis.Develop new solutions for improved cyberattack responses.Participate in IT Security events and engage with research stakeholders.Contribute to internal policy development in Information Security.Skillset needed:Proficient in Microsoft and Linux OS.Proven expertise in digital forensics.Expertise in security technologies: Antivirus, Firewalls, IDS, Wireshark.Installation/configuration of tools: MISP, OpenCTI, theHIVE.Programming: Python, Bash/Shell; knowledge of Java, C/C++ is a plus.Offensive security techniques and penetration testing.Forensics tools: EnCase, FTK, AccessData.Malware analysis, reverse-engineering, and assembly language.Familiarity with IDA, OllyDbg, Cuckoo Sandbox, etc.Interview processOne technical interview (60 min Teams chat) and one softs skills (20 mins)If this seems like a good fit, please apply for the role and if you need more information before applying, please reach out directly.Dipika KaurSenior Consultant",Dipika Kaur,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120541
Linux Engineer,2025-04-09 17:02,15 keer bekeken,0 reacties ontvangen,2025-06-02,12 maanden,40 uur per week,In overleg,Payroll/Detachering,,"Linux Engineer - 12 months - UtrechtI'm currently seeking for a Linux Specialist for an international client in Utrecht. As a Linux engineer in this team, you will be responsible for managing the Linux/Unix platform, and contributing to their ever-growing automated systems. You will be involved in managing, supporting, and automating products and services. If you have an affinity with security this is a plus. Skills:- Linux Redhat- Ansible/Ansible Tower- Python- Bash- CI/CD - Azure DevOps We aim to respond promptly to all applications. However, due to high volumes, there may be times when we cannot reply to every applicant. Thank you for your understanding.Amoria Bond operates as an employment agency and employment business. No terminology in this advert is intended to discriminate on the grounds of age or experience, and we confirm that we are happy to accept applications from persons of any age or experience for this role.",Pavit Henriod,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120535
Senior Data Analist,2025-04-09 16:00,51 keer bekeken,5 reacties ontvangen,6 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,,"Voor een grote klant zoek ik momenteel een Senior Data Analist. Binnen deze rol zet je niet alleen je diepgaande expertise in gegevensanalyse in, maar ondersteunt ook je team bij het bewaken van de voortgang van het project en de kwaliteit van hun oplossingen. Daarbij zijn sterke communicatieve vaardigheden onmisbaar, evenals het talent om op inspirerende wijze een verhaal over te brengen. Ook zul je nauw samenwerken met verschillende afdelingen binnen het bedrijf (Data Engineering, Business Intelligence en Data Science).Criteria: > Senior niveau (Dashboarding/Rapportages) middels Tableau > Je beschikt over aantoonbare kennis en ervaring met SQL, waarbij je in staat bent om complexe queries te schrijven, data te analyseren en inzichten te halen uit relationele databases ter ondersteuning van data-gedreven besluitvorming.> Je hebt aantoonbare ervaring met Python, en bent in staat om deze programmeertaal effectief in te zetten voor data-analyse, automatisering en het ontwikkelen van data-oplossingen",Jesse Verhoef,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120508
"Data Scientist – Product Development (Insurance, SmartFlex)",2025-04-09 11:26,32 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),40 uur per week,In overleg,Payroll/Detachering,,"Job Title: Data Scientist – Product Development (Insurance, SmartFlex)Location: Amsterdam, HybridType: Contract via SytacStart Date: ASAPAbout the RoleWe’re looking for a Data Scientist to join...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120442
Senior Data Engineer / Ontwikkelaar (AWS),2025-04-09 10:41,62 keer bekeken,5 reacties ontvangen,2025-05-12,6 maanden (optie tot verlenging),32 - 40 uur per week,"€ 85,00 - € 95,00 Per uur",Freelance,,"SituatieVoor onze klant in Den Haag zijn wij op zoek naar een senior Data Engineer. Je komt in een nieuw team terecht die gaat bouwen aan een nieuwe data architectuur in de Cloud waar alle bedrijfsdata samenkomt.Dit wordt ontwikkeld in een event-driven architectuur in AWS, cloud-native. Jij bent het type data engineer...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120425
Netwerkbeheerder Mr.,2025-04-09 10:24,32 keer bekeken,0 reacties ontvangen,2025-05-05,6 maanden (optie tot verlenging),36 uur per week,In overleg,Payroll/Detachering,,"OpdrachtspecificatiesReferentienummer: 2025-02745Omgeving: Den Haag, Koningskade 4Startdatum: 5 mei 2025Einddatum: 31 oktober 2025Gesprekken: onbekendOptie op verlenging: ja, maximaal 6 maanden per verlengingAantal uur per week: 36Sluitingsdatum: dinsdag 15 april om 09.30...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120422
C#  |  Unity Engine Developer,2025-04-09 10:09,39 keer bekeken,2 reacties ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),40 uur per week,"€ 80,00 - € 90,00 Per uur",Payroll/Detachering,,OpdrachtomschrijvingLocatie: MiddelburgTarief: 80 - 90 euro per uurDuur: 6 maanden (optie tot verlenging)Uren: 40 per weekStartdatum: Zo spoedig mogelijkIk ontvang graag CV's inclusief...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120419
Databricks Engineer,2025-04-09 09:15,65 keer bekeken,5 reacties ontvangen,6 maanden,32 - 40 uur per week,In overleg,Freelance,,,"Databricks EngineerGood evening network,I am currently looking for someone with experience in Databricks for a valued client of us.What you'll be doing:Administration and maintenance of the Databricks PlatformBuild standardized infrastructure and components for the data platformDeveloping...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120378
Senior Data engineer,2025-04-08 21:52,80 keer bekeken,6 reacties ontvangen,zo snel mogelijk starten,6 maanden,40 uur per week,"€ 1,00 - € 250,00 Per eenheid",Freelance,,"hi there,hope you're doing well! For one of our clients active within the aviation industry, we're looking for a Sr. Data Engineer. If you have experience using SQL, Python, GCP, BigQuery, Scala, and kafka, then this is the job for you! Feel free to apply via options below.Practical info:Contract...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1120371
