job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Cyber Security Cloud Specialist,2025-04-17 18:06,30 keer bekeken,0 reacties ontvangen,2025-04-21,8 maanden,32 - 36 uur per week,In overleg,Freelance,,"Opdrachtomschrijving: Cyber Security Cloud Specialist Voor een organisatie met een sterke focus op innovatie en security zijn wij op zoek naar een ervaren Cyber Security Cloud Specialist. In deze rol maak je deel uit van het Security Engineering Team, dat verantwoordelijk is voor het beheren, optimaliseren...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121551
Rapporteur Inkooprechtmatigheid,2025-04-17 16:12,20 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,6 maanden,36 uur per week,In overleg,Payroll/Detachering,Politie,"Opdracht omschrijvingWij zijn op zoek naar een ervaren rapporteur van inkooprechtmatigheid die diepgaande kennis heeft van Django, Python en PostgreSQL. Deze rapporteur levert maandelijkse rapportages op van de inkooprechtmatigheid van onze eindklant met behulp van de IRIS applicatie. De rapporteur levert de resultaten...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121524
Cyber Security Cloud Specialist.,2025-04-17 15:52,28 keer bekeken,1 reactie ontvangen,zo snel mogelijk starten,8 maanden (optie tot verlenging),32 uur per week,In overleg,Payroll/Detachering,Schiphol Group,"Voor een opdracht bij onze opdrachtgever/eindklant, zoeken we een bekwame:Cyber Security Cloud Specialist.Referentienummer: 2025-188Provincie: Noord-HollandLocatie: Schiphol/HybrideFreelance toegestaan: Nee!Startdatum: 01-05-2025Duur:  8 maandenVerlenging:...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121519
Testautomatiseerder,2025-04-17 15:37,41 keer bekeken,1 reactie ontvangen,2025-06-01,12 maanden (optie tot verlenging),36 uur per week,In overleg,Payroll/Detachering,,"Voor onze directe eindklant in Utrecht ( start pas rond juni) zoeken wij een Testautomatiseerder met onderstaande kennis ( helaas meer info heb ik nog niet):Testautomation engineer. Robot, Selenium, Python4-5 ervaring in test strategy Iemand die verbeterinitiatieven neemt en...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121503
Oracle developer,2025-04-17 12:37,37 keer bekeken,2 reacties ontvangen,2025-05-05,12 maanden (optie tot verlenging),36 - 40 uur per week,"€ 75,00 - € 95,00 Per uur",Payroll/Detachering,,We are a Dutch recruitment agency based in Netherlands and we are preferred suppliers to big financial services in Europe.For one of our giant Financial services client based in Amsterdam we are looking for a Oracle Developer.36- 40 hours12 months...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121453
Trainee waterveiligheid,2025-04-17 11:24,8 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,24 maanden,32 - 36 uur per week,In overleg,Payroll/Detachering,Het waterschap Drents Overijsselse Delta,"FunctieomschrijvingJe hebt net je hbo- of wo-opleiding afgerond en klaar om je verder te ontwikkelen: start als trainee waterveiligheid bij de eindklant in Zwolle.Waar kom je terecht?Bij de eindklant krijg je als trainee waterveiligheid de kans om mee te werken aan de waterveiligheid van het beheergebied, dat zich...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121424
Bi Consultant/Data Analyst,2025-04-17 10:51,110 keer bekeken,6 reacties ontvangen,2025-05-01,8 maanden,32 - 36 uur per week,"€ 65,00 - € 74,00 Per uur",Payroll/Detachering,,"Can you turn raw data into actionable insights that drive real decisions? Are you the type who thrives at the crossroads of business and IT, and loves convincing others of the power behind smart data?We’re looking for a hands-on, curious, and communicative BI Consultant / Data Analyst who wants to make...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121411
Data specialist (software),2025-04-17 10:46,76 keer bekeken,3 reacties ontvangen,12 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,,,Voor een goede relatie ben ik opzoek naar een Data specialist7+ jaar ervaring met Postgresql en databases 7+ jaar ervaring met PythonRuime ervaring (10+ jaar) met Docker en web technologieënErvaring als software engineering...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121404
Consultant Infrastructuur,2025-04-17 09:45,67 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,6 maanden (optie tot verlenging),40 uur per week,In overleg,Freelance,COA,"Opdracht: Consultant Infrastructuur Voor de optimalisatie van een complexe on-premises IT-infrastructuur zoekt onze opdrachtgever een zelfstandig consultant met diepgaande kennis van o.a. Microsoft Windows Server, Active Directory (AD), PKI, Commvault, Nutanix, VMware, SQL en Ansible. De professional voert regie over technische deelgebieden en levert strategisch advies aan het IT-management over architectuur, automatisering en security.Werkzaamheden:Adviseren over inrichting en optimalisatie van infrastructuur. Ontwerpen en implementeren van automatiseringsoplossingen (Ansible, PowerShell, Bash of Python). Optimaliseren van server-, database- en virtualisatieomgevingen. Uitrollen van backup- en disaster recovery-strategieën (Commvault). Regie voeren over Nutanix- en VMware-platformen. Borging van security & compliance (o.a. PKI en certificaatbeheer). Technische coördinatie en afstemming met stakeholders.Resultaat:Een schaalbare, veilige en toekomstbestendige infrastructuur die voldoet aan compliance-eisen, met verhoogde efficiëntie door automatisering.Gevraagd profiel:HBO werk- en denkniveau7 jaar ervaring in infrastructuurprojectenCertificeringen: MCSA/MCSE, VCP, Nutanix NCPRuime ervaring met automatisering en cloud/on-prem integratiesSterke communicatieve vaardigheden en analytisch vermogenErvaring in projectmatige context, zonder hiërarchische afhankelijkheidOverige kenmerken:Zelfstandige uitvoering van werkzaamhedenFlexibele werkindeling (remote / on-site in overleg)Samenwerking op basis van gelijkwaardigheid met opdrachtgever",Nikolai Klijnoot,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121377
Test Automation Engineer,2025-04-17 09:36,101 keer bekeken,7 reacties ontvangen,2025-05-11,12 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,"Namens een van onze opdrachtgevers zijn wij op zoek naar een interim Test Automation Engineer.Sterk zijn in communicatieZich thuis voelen in Agile teamsKennis willen delen en zichzelf continu willen ontwikkelenWaardering zoeken op basis van kwaliteit en impact, niet op leeftijd...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121366
