job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Senior Devops Engineer,2025-04-18 15:26,47 keer bekeken,1 reactie ontvangen,2025-05-01,3 maanden (optie tot verlenging),32 - 38 uur per week,In overleg,Freelance,,Over het bedrijfVoor een organisatie binnen de (semi)publieke sector zoeken wij tijdelijk een ervaren DevOps-engineer. De organisatie richt zich op het ontwikkelen en beheren van (open source) applicaties en infrastructuur binnen de wetenschappen. Binnen het team werk je in een dynamische en academisch georiënteerde omgeving...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121695
Senior DevOps Engineer,2025-04-18 15:01,65 keer bekeken,6 reacties ontvangen,2025-05-01,6 maanden (optie tot verlenging),32 - 38 uur per week,"€ 75,00 - € 105,00 Per uur",Freelance,,"Ben jij de DevOps Engineer die een passie heeft voor het beheren, ontwikkelen en optimaliseren van applicaties en infrastructuur binnen een onderzoeks- en datamanagement omgeving? Dan zoeken we jou! Je gaat in een team aan het werk met 35 collega's. Je gaat werken aan nationale en internationale infrastructuren met unieke data en toonaangevende organisaties in binnen- en buitenland.TakenOntwerpen, bouwen en gebruiken van open-source software en het delen van informatie over de digitale infrastructuur;Je gaat werken aan het bewaren en serveren van data voor het publieke domein;Werken aan een breed spectrum van applicaties en infrastructuur voor de korte en lange termijn;Ondersteunen van expertiseteams bij het optimaliseren van hun applicaties voor het gebruik van de infrastructuur;Optimaliseren en vernieuwen van de infrastructuur om nieuwe vereisten te faciliteren;Technische projecten coördineren en organiseren;Oudere applicaties migreren naar een oplossing die onderhouden en ondersteund kan worden.EisenGewerkt met Linux;Gewerkt met Bash, Html, Java en Python;Gewerkt met Docker, Kubernetes, Vm platforms, CI/CD, git, Docker-registries, docker-compose;Gewerkt aan DBMS'en, zoals PostgreSQL, MariaDB, Mongodb;Gewerkt met storage transport protocols/file systems, zoals S3, nfs, webdav, sftp, smb, zfs, xfs, ext4;Kennis van netwerkinfrastructuurcomponenten, zoals switches, firewall, vpn, vlan etcErvaring met ansible, terraform, PHP, MacOSx, Windows server/workstation Os, temporal, webhosting platforms, CMS, node-js, OAIS;Vloeiend in Engels en Nederlands;Meer dan 5 jaar ervaring als DevOps Engineer.",Mayarisly Holthaus,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121685
Pentester,2025-04-18 13:35,15 keer bekeken,1 reactie ontvangen,2025-05-28,6 maanden,36 uur per week,In overleg,Payroll/Detachering,EZ,"Voor onze eindklant zoeken we een Pentester.Voor het security testteam van het team SRO zoeken we een pentester. In deze opdracht maak je deel uit van een team security testers die security testen uitvoeren voor verschillende klanten. Je houdt intakes voor security testen, voert uit, rapporteert en bespreekt de resultaten direct met de opdrachtgevers....",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121641
Senior GOLang React Typescript developer,2025-04-18 13:25,14 keer bekeken,0 reacties ontvangen,2025-05-19,1 jaar (optie tot verlenging),36 - 40 uur per week,"€ 80,00 - € 100,00 Per uur",Freelance,,"Voor onze directe eindklant zoeken wij een Senior Fullestack developer. Wij zijn dus de enige partij tussen jou en deze eindklant.Er wordt een nieuw project opgezet waarvoor wij een nieuwe fullstack developer zoeken. Gezien de complexiteit zoeken we een bovengemiddeld analytische developer met een WO vooropleiding in Computer science / wiskunde oid.Senior Full Stack developer: (de focus ligt op de backend en de connectie met de andere applicaties die in ontwikkeling zijn).• Proficient in multiple programming languages, especially GOLang (back-end), React TypeScript (front-end)• Experience with Marklogic, Apache Airflow and Python is a plus• Extensive knowledge of Docker and application development• Familiarity with IT security basics• Proficient in writing smart and stable unit tests• Comfortable with new technologies and continuous learningDevelopment Process:• Hands-on experience with Git, Jenkins, Docker, npm, skaffold, helm, and other development tools• Ability to manage and optimize these technologies• Capable of full-stack development and managementPersonal Qualities:• Strong analytical skills, preferably with formal education in computer science, mathematics, or related fields• Real hands-on developer (not a team lead or managerial role)• Able to join an existing team working on complex applications• Acts with integrity and takes personal responsibility• Curious about developments in the field and driven to make a difference• Team player who incorporates diverse ideas and perspectives, empathetic towards colleagues and stakeholdersMinimaal 3 dagen per week in het kantoor te Amsterdam en 2 dagen remote.Als je interesse hebt, ontvang ik graag je CV met tarief indicatie en daarna kunnen we de klant én het project bespreken.",Lex Schriever,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121635
Oracle Exadata engineer,2025-04-18 12:44,21 keer bekeken,0 reacties ontvangen,3 maanden,32 - 40 uur per week,In overleg,Freelance,,,"We are currently looking for an Oracle Exadata Dev Ops engineer for their international client in Utrecht, The NetherlandsJob Description:The Infrastructure DevOps team is responsible for designing, installing and maintaining our infrastructure that predominantly consists of Oracle Exadata & ZFS...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121600
Cyber Security Cloud Specialist,2025-04-17 18:06,53 keer bekeken,1 reactie ontvangen,2025-04-21,8 maanden,32 - 36 uur per week,In overleg,Freelance,,"Opdrachtomschrijving: Cyber Security Cloud Specialist Voor een organisatie met een sterke focus op innovatie en security zijn wij op zoek naar een ervaren Cyber Security Cloud Specialist. In deze rol maak je deel uit van het Security Engineering Team, dat verantwoordelijk is voor het beheren, optimaliseren...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121551
Rapporteur Inkooprechtmatigheid,2025-04-17 16:12,24 keer bekeken,0 reacties ontvangen,zo snel mogelijk starten,6 maanden,36 uur per week,In overleg,Payroll/Detachering,Politie,"Opdracht omschrijvingWij zijn op zoek naar een ervaren rapporteur van inkooprechtmatigheid die diepgaande kennis heeft van Django, Python en PostgreSQL. Deze rapporteur levert maandelijkse rapportages op van de inkooprechtmatigheid van onze eindklant met behulp van de IRIS applicatie. De rapporteur levert de resultaten...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121524
Cyber Security Cloud Specialist.,2025-04-17 15:52,37 keer bekeken,1 reactie ontvangen,zo snel mogelijk starten,8 maanden (optie tot verlenging),32 uur per week,In overleg,Payroll/Detachering,Schiphol Group,"Voor een opdracht bij onze opdrachtgever/eindklant, zoeken we een bekwame:Cyber Security Cloud Specialist.Referentienummer: 2025-188Provincie: Noord-HollandLocatie: Schiphol/HybrideFreelance toegestaan: Nee!Startdatum: 01-05-2025Duur:  8 maandenVerlenging:...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121519
Testautomatiseerder,2025-04-17 15:37,58 keer bekeken,1 reactie ontvangen,2025-06-01,12 maanden (optie tot verlenging),36 uur per week,In overleg,Payroll/Detachering,,"Voor onze directe eindklant in Utrecht ( start pas rond juni) zoeken wij een Testautomatiseerder met onderstaande kennis ( helaas meer info heb ik nog niet):Testautomation engineer. Robot, Selenium, Python4-5 ervaring in test strategy Iemand die verbeterinitiatieven neemt en...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121503
Oracle developer,2025-04-17 12:37,50 keer bekeken,2 reacties ontvangen,2025-05-05,12 maanden (optie tot verlenging),36 - 40 uur per week,"€ 75,00 - € 95,00 Per uur",Payroll/Detachering,,We are a Dutch recruitment agency based in Netherlands and we are preferred suppliers to big financial services in Europe.For one of our giant Financial services client based in Amsterdam we are looking for a Oracle Developer.36- 40 hours12 months...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1121453
