job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
"Python, React en Django developer",2025-03-28 16:28,52 keer bekeken,4 reacties ontvangen,zo snel mogelijk starten,1 week,8 - 40 uur per week,"€ 40,00 - € 80,00 Per uur",Freelance,,Voor een nieuw platform wat bijna live gaat zoeken we een developer die ons kan helpen met de puntjes op de i. We zoeken iemand die op korte termijn onze developer kan ondersteunen om het platform te voltooien. Vereisten:- Expertise op het gebied van Django en PythonOptioneel:- Kennis en ervaring...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119111
Senior xR Developer,2025-03-28 16:11,15 keer bekeken,1 reactie ontvangen,2025-05-01,6 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Payroll/Detachering,,"In verband met de wet DBA mogen we helaas geen ZZP´ers aanbieden. ZZP´ers kunnen wel reageren, maar dienen dan voor de duur van de opdracht in dienst te treden bij ons via een lucratieve loonconstructie. DBA-proof.Vacature: Senior XR Developer (Interim)Functieomschrijving:...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119102
Full Stack Web Developer,2025-03-28 14:58,95 keer bekeken,6 reacties ontvangen,2025-05-05,6 maanden (optie tot verlenging),32 - 40 uur per week,In overleg,Freelance,,"Are you an experienced Full-Stack Developer with strong skills in .NET Core, Python, and modern frontend technologies?Do you enjoy working with cutting-edge tools in a cloud environment? Then this might be the perfect role for you! What You’ll Do:- Develop and maintain high-quality software solutions.-...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119086
Senior DevOps Engineer (Python),2025-03-28 13:12,37 keer bekeken,1 reactie ontvangen,2025-04-04,12 maanden,40 uur per week,In overleg,Payroll/Detachering,,"Please note this is a Detachering opportunity, no ZZPEnglish and Dutch mandatory We are looking for a DevOps Engineer with at least 5 years of experience, ready to showcase their Python skills! Along with your extensive Python experience, we seek a creative personality who values the creation of standards...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119053
Infrastructuur Engineer,2025-03-28 13:11,49 keer bekeken,3 reacties ontvangen,2025-04-07,8 maanden,36 uur per week,In overleg,Freelance,,"FunctieomschrijvingHet PAAS Linux team is verantwoordelijk voor de ontwikkeling van diverse PAAS rollen. Onder deze opdracht behoren o.a. de onderstaande werkzaamheden:- De verdere ontwikkeling van PAAS rollen en het beheer van het PAAS platform- Uitvoeren van lifecycle management om de systemen up-to-date en veilig te houden- De ontwikkeling en de automatisering van testen om de kwaliteit van de diensten te kunnen waarborgen- Meedenken met klanten, beantwoorden van vragen en oplossingen aandragem- Draaien van consignatiedienstenFunctie eisen- HBO werk- en denkniveau- 2 jaar kennis en ervaring op het gebied van programmeren / scripten (Bash / Python)- 1 jaar kennis en ervaring met het automatiseren van infrastructuur deployments- 2 jaar kennis en ervaring met Linux Operating SystemFunctie wensen- Kennis van / ervaring met cloud technologieen (OpenStack, Vmware, Kubernetes)- Kennis van / ervaring met GitOverige InformatieLocatie: GroningenStartdatum: 7-4-2025Einddatum: 31-12-2025Uren per week: 36Verlenging: Ja",ItaQ Interim Professionals,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119052
Cisco ACI Engineer,2025-03-28 13:10,13 keer bekeken,1 reactie ontvangen,2025-04-01,8 maanden (optie tot verlenging),32 - 36 uur per week,"€ 80,00 - € 95,00 Per uur",Freelance,,"Als CISCO ACI Specialist maak je deel uit van het Network team. Dit team is verantwoordelijk voor het ontwerp, de automatisering, implementatie en het beheer van onze CISCO ACI-omgevingen. Je zorgt ervoor dat onze netwerken optimaal functioneren, zodat collega's en klanten zorgeloos kunnen werken.Samen met je team werk je volgens Agile Scrum aan...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1119051
Data Engineer - AWS,2025-03-28 09:24,54 keer bekeken,5 reacties ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Hi!Voor een mooie klant in het midden van het land ben ik op zoek naar een ervaren Data Engineer met expertise in Big Data en DevOps! In deze rol help je bij de verdere ontwikkeling van het AWS-data platform en draag je binnen een DevOps-team bij aan de ontsluiting van nieuwe databronnen, automatisering en post-deployment analyses.We zoeken...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1118982
CISCO ACI Specialist,2025-03-28 09:21,13 keer bekeken,1 reactie ontvangen,2025-04-14,8 maanden (optie tot verlenging),36 uur per week,In overleg,Payroll/Detachering,,"Voor een opdracht bij onze opdrachtgever/eindklant, zoeken we een bekwame:CISCO ACI SpecialistReferentienummer: 2025-142Provincie: Zuid-HollandLocatie: Den Haag-Rotterdam/HybrideFreelance toegestaan: Nee!Startdatum: 14-04-2025Duur:  8 maanden [31-12-2025]Verlenging:...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1118979
AI Agent Developer (LLMs / Autonome Agents),2025-03-27 20:10,133 keer bekeken,6 reacties ontvangen,2025-04-21,12 maanden,24 - 40 uur per week,In overleg,Freelance,,"Over de opdrachtgeverVoor een toonaangevende organisatie actief op het snijvlak van technologie en innovatie zijn wij op zoek naar een ervaren AI Agent Developer. Je gaat aan de slag met het bouwen van geavanceerde, taakgestuurde autonome agents die zelfstandig kunnen redeneren, plannen en communiceren...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1118967
Data Manager,2025-03-27 19:53,60 keer bekeken,2 reacties ontvangen,zo snel mogelijk starten,1 jaar (optie tot verlenging),40 uur per week,In overleg,Payroll/Detachering,,"DATA MANAGER- Zeeland area - Hybrid way of working -ASAP- 1 year contract and perm afterwardsOnly candidates living in the Netherlands are considered for this positionAre you a Data Manager who has experience with Master Data and Azure Fabric? If so, this opportunity could be perfect for you!Amoria Bond is currently seeking a Data Manager to join one of our key clients in Zeeland area.🕒 Hours: Full-time (40 hours per week)🌍 Travel: 1 business trip per month🗣 Language: EnglishKey Responsibilities:✅ Lead projects to establish a high-quality Master Data platform✅ Define and align Master Data definitions across different sections✅ Conduct a zero-measurement state analysis for Master Data improvements✅ Work with Python, SQL, and data analytics tools to deliver insights✅ Support the development of a Data Analytics Platform on Fabric✅ Collaborate with cross-functional teams to enhance data processes✅ Travel for business (approx. once per month)What We’re Looking For:✔ Senior-level experience in Data Analysis✔ Strong expertise in Master Data Management✔ Proficiency in Python, SQL, and Analytics✔ Experience with Microsoft Fabric (a big plus!)✔ Ability to drive continuous improvements in Master Data✔ Strong problem-solving skills and a proactive approachWhat We Offer:🔹 A dynamic role in a growing data-driven environment🔹 A 1-year contract with the opportunity to transition into a permanent role🔹 A collaborative and international team🔹 The chance to shape the company's data futureAre you the Data Manager that we are looking for? Send your CV and contact details and I will contact you as soon as I can!We will endeavour to respond to your application ASAP. However, there may be times when it is not possible to reply to all applications, due to high volumes of enquiries. This is sometimes the case for unsuccessful applications to one of our vacancies. We apologise for this and can reassure you that we will keep your details and contact you in the future should any suitable positions arise.Amoria Bond operates as an employment agency and employment business. No terminology in this advert is intended to discriminate on the grounds of age or experience, and we confirm that we are happy to accept applications from persons of any age or experience for this role.",Meel Polkki,https://mijn.freelance.nl/opdracht-vinden/opdracht/1118953
