job_title,Status,Publicatiedatum,Weergaven,Reacties,Referentie,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Geregistreerd sinds,Privacy partner,Recruiters,Opdrachten,Laatste review,Geplaatst door,Eindklant,Privacy officer(s)
Senior Full Stack Developer,Open (sinds 26-05-2023 10:03),26-05-2023 10:03,78 ingelogde gebruikers,9 reacties,,,"In overleg, Utrecht",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,Marktconform,Freelance / ad interim,"Als Senior full stack developer ben je een belangrijke schakel bij het omzetten en opnieuw opbouwen van de legacy software van onze klant. Het huidige platform stamt uit 2002 en wordt inmiddels door honderden (internationale) organisaties gebruikt voor de planning van en communicatie met hun medewerkers. Ze naderen de zesde versie van deze professionele productsuite en richten zich nu op de vernieuwing en vervanging van diverse core onderdelen. Dat doen ze onder meer op basis van .NET Core. Onze klant werkt hard aan nieuwe ontwikkelingen. De introductie van geavanceerde data analysetechnieken (zoals anomaly detection, machine learning voor alerting en root cause analysis) is daar één van. Ze streven naar diepe integratie met andere serverproviders via webhook ondersteuning in hun API-platform. En ze hebben de wens om de webapplicaties voor hun mobiele gebruikers nóg beter te maken. Jouw input, kennis en kunde kunnen ze hierbij goed gebruiken. Samen met jou willen ze de komende tijd deze veilige en moderne (cloud)oplossingen voor hun klanten ontwikkelen. Daarnaast ga jij je bezighouden met de inrichting en optimalisatie van de ontwikkelstraat. Je bouwt tools voor de integratie van Development en Operations en bewaakt de kwaliteit en processen rondom releasemanagement. Ook nodigen ze je uit om mee te denken over de optimalisatie van de technische architectuur. Jouw inbreng waarderen ze enorm. Wat maakt juist déze opdracht zo boeiend?Je werkt aan de belangrijke transformatie van legacy producten naar moderne cloud based performance producten; In het kleine professionele development team houd jij je bezig met verschillende disciplines: front-end, back-end, full stack, cloud en data-analyse; Jouw inbreng is voor ons van grote waarde en heeft direct effect op het product; Je werkt in korte development cycles naar een go-live van de release in productie; De werkomstandigheden zijn uitstekend: je werkt via een duidelijke roadmap voor de komende zes maanden, de ontwikkelstraat is modern ingericht met onder andere Visual Studio, Azure DevOps en Trello; Plannen en workforce management is een prachtig en uitdagend vakgebied!Wie ben jij? Wij zijn op zoek naar een enthousiaste softwarebouwer met een brede kennis van patterns en architecturen. Je hebt een hands-on instelling, bent klantgericht en kan je werk goed organiseren.Je bent een kundige en ervaren full stack developer met veel kennis van de Microsoft Stack; kennis van Java, Python of andere ontwikkelplatformen is zeer welkom; Je hebt ervaring in de moderne cloud technologie en kunt hierin je weg vinden; Je hebt een informatica achtergrond op hbo of wo niveau; Je hebt ruime ervaring in een soortgelijke (senior) functie; Je hebt een goede beheersing van de Nederlandse en Engelse taal; Je kunt adviseren over optimalisaties en verbeteringen aan de hand van gedegen analyses van bestaande code en oplossingen; Je automatiseert de 'saaie' zaken en richt je op het optimaliseren van alle belangrijke zaken; Je werkt planmatig en bent organisatorisch en analytisch sterk; Waarden als ondernemerschap, samenwerken, respect en klantgerichtheid vind je belangrijk; Het zelfstandig managen van projecten geeft je energie en je weet je opdrachten tot een goed einde te brengen.Spreekt deze klus jou aan? Reageer dan via onderstaande sollicitatie optie. LET OP! ZZP ONLY!",13 september 2015,-,2,3 / 4,,Nikki Gunsing,,
Lead Data Engineer,Open (sinds 26-05-2023 10:00),26-05-2023 10:00,48 ingelogde gebruikers,3 reacties,,,"In overleg, 's-Hertogenbosch / hybrid",Zo snel mogelijk,7 maanden  (optie tot verlenging),36 - 40,in overleg,Freelance / ad interim,"As lead data engineer you have the right attitude and drive to take our datalake and the team to the next level. We are looking for a lead data engineer that has experience with · DataOps; setting up monitoring and alerting on an AWS data lake (or Snowflake/DBT),· Extensive (10+ years) of experience in engineering, preferable mainly in data engineering within AWS,· Experience with PySpark and Python,· Experience with (test) automation and data quality monitoring in a data lake,· Takes ownership and actively shares knowledge and takes his or her team along. NOTE: We will be processing only with freelancers - please do not submit candidates who can be hired via agency/payroll.",18 februari 2013,-,21,28 / 2981,"Goede begeleiding naar het sollicitatie gesprek. Snelle, duidelijke en professionele terugkoppeling.",Izabela Marszałek,,
Senior Data Engineer,Open (sinds 25-05-2023 21:17),25-05-2023 21:17,54 ingelogde gebruikers,3 reacties,,02-06-2023,"In overleg, Zuid-Holland",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,Marktconform,Freelance / ad interim,Voor een klant opzoek naar een freelance Senior Data Engineer / Software Engineer. Het gaat om een nieuw project met betrekking op een nieuw Data Platform,,,,,,,,
Senior Data Scientist,Open (sinds 25-05-2023 16:56),25-05-2023 16:56,44 ingelogde gebruikers,3 reacties,co,30-05-2023,"Ja, Rotterdam",Zo snel mogelijk,4 maanden  (optie tot verlenging),32 - 40,Marktconform,Freelance / ad interim,"In the organization's central data science team you will set up data-driven solutions together with other business units. This means you can work on a wide variety of topics on the commercial and the operational side, as well as the integration between those two. On the commercial side, this can mean advising customers on sustainable investments based on energy use and building characteristics. On the operational side, improving efficiency of district heating or implementing predictive maintenance for wind turbines can be your next subjects. As an integrated energy company, the organization is also always looking for innovative solutions to integrate supply and demand. Requirements You can easily adapt to new environments and situations. You have focus, courage and a ""can do"" attitude. You use these qualities to obtain the goals that you set for yourself in an ever-changing professional environment.MSc in a Science, Technology, Engineering or Mathematics (STEM) field. 4+ years of experience working as a data scientist. Knowledge of common data science techniques and statistical methods. Strong oral and written presentation skills in English and preferably in Dutch. An interest in the energy domain and innovations therein, and a curious mindset. Ability to independently drive data science projects and to inspire and guide more junior data scientists. Fluent in Python and SQL, experience with Azure, MLFlow, AirFlow and Databricks is a plus.ResponsibilitiesIdentify problems that can be solved using data science and turn those into impactful projects. Test and develop your ideas through hackathons, prototypes, and pilots all the way up to a working product or service. Interact with business stakeholders and data engineers to balance commercial requirements with engineering best practices. Convey the data science way of working within the organization. Pragmatic approach to data science: able to quickly show results to convince the business, rather than wanting to apply the most complex algorithms. ",06 maart 2015,Actief,24,73 / 9133,Altijd goed contact,Antonie van Vliet,,"Ja, 2 geregistreerd"
DevOps Engineer,Open (sinds 25-05-2023 15:16),25-05-2023 15:16,43 ingelogde gebruikers,2 reacties,J124920_1685017870,,Nee,Zo snel mogelijk,12 maanden  (optie tot verlenging),32 - 40,in overleg,Freelance / ad interim,"DevOps Engineer- Brussels region- 12 months+ Key Skills: Jenkins/Azure DevOps - Python/Bash - Kubernetes Are you a highly motivated DevOps Engineer who is interested to work in a IT team within a large software organization? Do you have experience with supporting the integration of CD/CI/pipelines and containers? Then this might be the right project for you! Our client is looking for DevOps/ FinOps Engineer who's main role will be supporting the integration of cloud-based practices and also the rollout of infrastructure and automation as code, and not forgetting the deployment of FinOps tools and other processes. You will be responsible forSupporting the team in charge of integrating best cloud practices for CD/CI/pipelines and containers Supporting the rollout of infrastructure and automation as code. Supporting the deployment of FinOps tools and other processes.Key skillsUnderstanding the development of Workflow, and have a general knowledge of code written in PHP, Java, C#, etc Can work with modern GIT strategies Kubernetes as a orchestration platform for container Experience with infrastructure-as-a-code and knowledge of these tools : Packer, Ansible, Terraform Scripting languages for DevOps such as Python, Powershell, Bash 3 years' experience minimum Languages : FR/NL/ENNice to haves Azure, control planes, Hyper-V, vmWare knowledge is a plus Working knowledge of Policy as Code like Azure Policies is a plus Strong interpersonal, analytical, technical, organizational skills Customer-oriented and security-focused Experience with collaborating with Service ProvidersAre you the right Cloud Architect we are looking for? Please send your CV for immediate consideration. We will endeavour to respond to your application ASAP. However, there may be times when it is not possible to reply to all applications, due to high volumes of enquiries. This is sometimes the case for unsuccessful applications to one of our vacancies. We apologise for this and can reassure you that we will keep your details and contact you in the future should any suitable positions arise. Amoria Bond operates as an employment agency and employment business. No terminology in this advert is intended to discriminate on the grounds of age or experience, and we confirm that we are happy to accept applications from persons of any age or experience for this role.",13 september 2016,-,18,39 / 6786,Quick and efficient response. Eduard  was  very helpful even though I was not a 100% match for the role,Tom Leteux,,
Full Stack IAM Developer,Open (sinds 25-05-2023 13:45),25-05-2023 13:45,32 ingelogde gebruikers,0 reacties,,,Nee,Zo snel mogelijk,12 maanden  (optie tot verlenging),38 - 40,per uur,Freelance / ad interim,"Full Stack IAM Developer Leading Global Key Consultancy based in Poland, Netherlands, Sweden, Denmark & Finland is looking for a Full Stack IAM Developer. Experience requiredJava 8+ Spring Boot, Spring framework (Core, Boot, Web, Security) JavaScript - Angular AWS - EC2, S3, DynamoDB, CloudFront, CloudWatch, AWS Lambda, ECR, IAM Docker container, KubernetesGood to havePythonPlease apply with an updated CV, if interested or looking for a new opportunity as soon as possible to avoid disappointment!",20 mei 2016,-,20,48 / 6231,"A nice clear explanation of the requirements.
The only thing that would improve adverts would be extra info such as free (onsite) parking or walking distance to a station",Ihab Nasheh,,
Detection Engineer,Open (sinds 25-05-2023 11:53),25-05-2023 11:53,28 ingelogde gebruikers,0 reacties,A - 2598,30-05-2023,"Ja, Amstelveen",Zo snel mogelijk,6 maanden  (optie tot verlenging),40,80 tot 94 per uur,Freelance / ad interim,"You will be involved in full cycles of designing, building, fine tuning and improving security detection and response capabilities; use data analytics, define and implement new tooling and collaborate with stakeholders to improve response actions in a large cyber defense SOC environment with a focus on SIEM content. Expected resultsTransform data into informative Security alerts Analyse threat actors’ techniques and develop resilient detection content Participate in purple teaming exercises and improve existing detection Develop machine learning models to detect behavioural aspects to drive Security Detection. Develop playbooks to automate response actions.Must have skillsExperience in creating threat detection use cases/models Strong defensive mindset with good understanding of threat actors TTPs and how to defend against these- Experience in working with Microsoft security products Experience with programming (preferably Python, REST API), automation or machine learning Strong skills in query languages like SPL, KQL Good command of the English language, both written and verbally.Nice to have skillsSecurity certifications such as OSCP, GPEN, GCFA, GMON, GCDA ",06 maart 2015,Actief,24,73 / 9133,Altijd goed contact,Antonie van Vliet,,"Ja, 2 geregistreerd"
Security DevOps Engineer,Open (sinds 25-05-2023 11:49),25-05-2023 11:49,41 ingelogde gebruikers,0 reacties,A - 2601,30-05-2023,"Ja, Amstelveen",Zo snel mogelijk,6 maanden  (optie tot verlenging),40,80 tot 94 per uur,Freelance / ad interim,"You will work for a Operations & Intelligence department withinthe security tribe within a bank, next to another approximately 150 colleagues. O&I is responsible for all the security operations of the organization. Your team helps to make the organization a safer bank by building and maintaining the systems used for security monitoring. This role requires extensive knowledge of the Microsoft Azure cloud, automation and scripting, machine learning and containers. You will work together with the Security Operating Center (SOC) and the other DevOps teams responsible for building monitoring use cases, but also with the central platform teams. This requires communication skills and the ability to interact with different stakeholders within and outside the Operations & Intelligence department.Must haveGood understanding and experience working with the Azure Cloud Good understanding of building and using Azure DevOps CICD pipelines Good scripting capabilities in Python Good knowledge of query languages like KQL / SPL / AQL (preferred KQL) Experience with Security Orchestration Automation Response (SOAR ) - preferred Microsoft Defender and Logic App Good API integration skills Good communications skills, ability to reach an agreement on requirements and solutions in communications with stakeholders at different levels of the organisationNice to haveGood understanding and experience with AKS Good understanding and experience with Function App Good understanding and experience with API calls ",06 maart 2015,Actief,24,73 / 9133,Altijd goed contact,Antonie van Vliet,,"Ja, 2 geregistreerd"
GIS-specialist GEO,Open (sinds 25-05-2023 10:41),25-05-2023 10:41,9 ingelogde gebruikers,0 reacties,IGB617640266,,"Ja, Amsterdam",Zo snel mogelijk,6 - 12 maanden,32 - 36,per uur,Freelance / ad interim,"FunctieomschrijvingJe werkt aan verschillende opdrachten voor de ontwikkeling, het beheer en gebruik van de geografische beheerregisters van watersysteem-, drinkwater- en afvalwaterassets bij Waternet. Waar kom je terecht?Voor Waternet, een drinkwaterbedrijf dat zorgt voor veilig drinkwater, schone grachten, rivieren en droge voeten in Amsterdam en omgeving, zijn wij op zoek naar een GIS-specialist. Waternet houdt zich onder andere bezig met de renovatie van bruggen en sluizen, het bouwen van gemalen, pompstations en waterzuiveringen en het realiseren van watergebiedsplannen.De gegevens uit de beheerregisters van watersysteem-, drinkwater- en afvalwaterassets worden gebruikt door verschillende afdelingen, maar ook door burgers en bedrijven door koppelingen van met landelijke basisregistraties en webapplicaties op de website. Als GIS-specialist ondersteun je de afdelingen bij het leveren en opslaan van de juiste informatie en het automatiseren van geografische analyses en rapportages.Jouw focus ligt in eerste instantie bij het beheerregister Watersysteem, waarin het assetregister wordt uitgebreid om analyses rondom verschillende toetsingssporen van regionale keringen te versnellen en automatiseren.Je bent onderdeel van de afdeling IT binnen het domein Assets, waar verschillende geo-teams werken aan een platform waar alle assets een plekje krijgen en waar werkprocessen gedigitaliseerd worden. Zij verzorgen de locaties van de assets, de koppeling met het EAM-pakket, het leveren van gegevens aan derden en het maken van geografische visualisaties.Wat ga je doen?Je zorgt voor het inrichten en vormgeven van assets met bijbehorende kenmerken in geo-databases. Je ontwikkelt geografische analyses en rapportages die bijdragen aan het beleid en de verplichtingen van de organisatie. Je draait mee in het beheer en de migratie van geo-applicaties naar gangbare versies en technologieën zoals Utility Network Model en Geonis 2022. Je levert in 3-wekelijkse sprints nieuwe functionaliteiten op. Je maakt gebruik van ons GIS-platform dat bestaat uit ArcGIS Enterprise, ArcGIS Pro, Geonis en FME Desktop en Server.Wat breng je mee? EisenJe hebt hbo-werk- en -denkniveau. Je hebt kennis van en ervaring met de softwarepakketten ArcGIS, Geonis en FME. Je hebt kennis van en ervaring met het beheren en registreren van assets in GIS-beheerpakketten. Je hebt goede beheersing van de Nederlandse taal in woord en geschrift.WensenJe hebt kennis van en ervaring met datakwaliteitsregels zoals Subtypes, Domeinen en Attribute rules. Je hebt automatiseringsvaardigheden met Geonis, Python en/of FME. Je hebt ervaring met het werken vanuit repositories voor CI/CD. Je hebt ervaring met de scrum-methode. Je hebt ervaring met het toetsen van regionale keringen en andere GIS-analyses.KenmerkenParttime / Fulltime32 – 36 uur Looptijd6 maanden, met een optie tot verlenging. LocatieAmsterdam Gesprekdonderdag 15 juni 2023Solliciteer nu!Spreekt deze opdracht je aan? Stuur dan je cv vóór dinsdag 6 juni 12.00 uur. Heb je nog vragen? Vragen stuur bericht Jop Verhulst. Referentienummer 230311.Waarom kiezen voor Van Dijk?Wij werken aan de mooiste projecten in de ruimtelijke ordening en infrastructuur door heel Nederland. Dit doen we samen met de rijksoverheid, provincies, gemeenten, waterschappen en andere (semi)overheden. Bij ons heb je een zeer grote kans dat je op het juiste project terechtkomt, want we luisteren naar wat jij wilt en waar de opdrachtgever echt naar op zoek is. Je ervaart onze kernwaarden Betrouwbaar: we zeggen wat we doen en we doen wat we zeggen, Professioneel: we maken verwachtingen waar en Betrokken: we hebben aandacht voor je.",20 augustus 2009,-,1,19 / 6215,Top zoals status en terugkoppeling wordt verzorgd!,Recruiter Van Dijk Employment Services,Waternet,
Solution Engineer,Open (sinds 25-05-2023 10:15),25-05-2023 10:15,28 ingelogde gebruikers,0 reacties,R-59988 Mischa,06-06-2023,"In overleg, Apeldoorn",Zo snel mogelijk,7 maanden  (optie tot verlenging),36,per uur,Freelance / ad interim,"Als Solution-engineer binnen het Center of Excellence(CoE) Analytics zorg je voor de verbinding tussen architectuur, ideeën en schetsen enerzijds en draagt zorg voor de realisatie van de oplossingen anderzijds, je bent de schakel tussen extern en intern. Je geeft vorm aan de oplossingen, zowel op functioneel als technisch vlak en stemt hiervoor af met de solution architecten en de system-engineers en legt de oplossingen vast in heldere ontwerpen. Je vertaalt epics naar features en werkpakketten, zodat ze kunnen worden opgenomen in de sprints ter realisatie. Je overziet het geheel van services en daarbij de samenhang tussen alle componenten van de infrastructuur en bent daardoor breed inzetbaar. Je bent op de hoogte van actuele ontwikkelingen binnen het vakgebied van analytics en datamanagement en daardoor kun je als klankbord fungeren en (on)gevraagd advies geven op de diverse werkgebieden binnen de CoE, zoals datamanagement, privacy & security en analytics. De organisatie Generieke Voorzieningen (GV) omvat alle infrastructuur, capabilities en tooling die nodig zijn om diensten te leveren die burgers, bedrijven en (kantoor)medewerkers ondersteunen op het gebied van Interactie, Invordering, Toezicht, Data Intelligence, Management Control processen en Analytics. De voorzieningen die Generieke Voorzieningen levert omvatten de infrastructuur, de halffabricaten (inclusief exploitatie en beheer van deze producten) en de hiervoor benodigde tooling, zowel generiek als maatwerk. In dit onderdeel worden ook de voorzieningen voor gegevensontsluiting gepositioneerd die het mogelijk maken Generieke Voorzieningen zo onafhankelijk mogelijk van de Integratie Business Services door te ontwikkelen. Ook heeft dit onderdeel de opdracht de wijze waarop innovatie/vernieuwing van technologie en het verder versnellen van de voortbrenging blijvend aangejaagd kan worden, te blijven onderzoeken. De CoE Analytics staat opgesteld voor het realiseren en onderhouden van een schaalbare, wendbare en robuuste Analytics infrastructuur voor de Belastingdienst. Door goed te luisteren naar klanten en op een juiste manier te prioriteren, is het team in staat om deze services 'fit-for-purpose' te leveren. Streven hierbij is altijd het continue verbeteren van de verschillende aspecten van de services. De CoE Analytics is een team van ervaren System- en Solution-engineers die voor de Belastingdienst een veilig platform en diverse services op het gebied van Analytics leveren. Denk hierbij aan: Belastingdienst Data Platform, Analytical Data Perimeter, SAS Grid Computing, SAS Visual Analytics, Self Service Analytics, Desktop Client Services en de Teradata Appliances. De CoE is een autonome eenheid, georganiseerd volgens de principes van Agile/Scrum/DevOps, die verantwoordelijk is voor de realisatie, continuïteit en functionele werking van de verschillende services. Het IT-landschap van de CoE Analytics beslaat vele honderden systemen, zowel fysiek als virtueel, de meeste daarvan zijn Linux gebaseerd. Op deze systemen draait Analytics software, voornamelijk SAS maar ook andere producten zoals Database- en Shared-filesystemen en Open-source toolkits zoals Python en R, onderverdeeld in de verschillende services waarmee wij de diverse Analytics infrastructuurvoorzieningen voor de Belastingdienst invullen. Deze wereld is bovendien volop in beweging onder invloed van een toename van interne klantgroepen qua aantal en in gebruik en onder invloed van security, privacy en continuity richtlijnen. Eisen5 jaar+ Vertalen van concepten naar haalbare en beheersbare oplossingen5 jaar+ werkervaring in een analytics infra omgeving3 jaar+ affiniteit met architectuur3 jaar+ scrum en agile WensenJe bent resultaatgericht- Je bent proactief en hebt organisatiesensitiviteit Je bent productief met scherp oog voor kwaliteit Je hebt overtuigingskracht- Je kunt Plannen en organiserenBasiskennis van ontwerpen, ontwikkelen en beheren, zoals bijvoorbeeldDatabases en appliances Netwerken• Gegevensstromen Automation en generieke oplossingen Analyticstooling Unix/Linux kennis Beveiligingscontrols en maatregelen als pseudonimiserenGaarne de eisenin uw motivatie toelichten. Niet met “ja” of “nee” of “zie CV”, maar middels een korte concrete toelichting. Hoe dient uw aanbieding verzorgd te zijnCV in Word-formaat afgestemd op de functie eisen Motivatie afgestemd op de functie eisen Beschikbaarheid (wanneer, hoeveel uur per week en eventuele vakantieplannen) Uurtarief (inclusief reis- en verblijfskosten en excl. BTW) ",22 december 2015,-,2,93 / 4220,snelle reactie,Cegeka Consulting  (Resourcemanagement),Belastingdienst,
